,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,8600000.0,10800000.0,18200000.0,19800000.0
Total Liab,900900000.0,956400000.0,832500000.0,767200000.0
Total Stockholder Equity,1219700000.0,1194900000.0,1243100000.0,1243200000.0
Minority Interest,2300000.0,2400000.0,2500000.0,2600000.0
Other Current Liab,16200000.0,16200000.0,19500000.0,34000000.0
Total Assets,2122900000.0,2153700000.0,2078100000.0,2013000000.0
Common Stock,740100000.0,739000000.0,734400000.0,733100000.0
Retained Earnings,485800000.0,455700000.0,504500000.0,508200000.0
Other Liab,128700000.0,141400000.0,134500000.0,130100000.0
Good Will,272500000.0,272500000.0,281300000.0,280100000.0
Treasury Stock,-6200000.0,200000.0,4200000.0,1900000.0
Other Assets,89500000.0,90900000.0,66400000.0,66000000.0
Cash,94000000.0,116800000.0,93900000.0,57600000.0
Total Current Liabilities,221300000.0,193000000.0,179300000.0,208200000.0
Other Stockholder Equity,-6200000.0,200000.0,4200000.0,1900000.0
Property Plant Equipment,1102000000.0,1075500000.0,1037700000.0,1012000000.0
Total Current Assets,452500000.0,519200000.0,500600000.0,474800000.0
Long Term Investments,197800000.0,184800000.0,173900000.0,160300000.0
Net Tangible Assets,938600000.0,911600000.0,943600000.0,943300000.0
Net Receivables,196800000.0,239700000.0,223000000.0,234500000.0
Long Term Debt,466100000.0,540100000.0,518700000.0,428900000.0
Inventory,152100000.0,155200000.0,176400000.0,174300000.0
Accounts Payable,172000000.0,144900000.0,133000000.0,145800000.0
Other Current Assets,,,,1900000.0
Short Long Term Debt,,,,300000.0
