,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,5000000.0,7000000.0,7000000.0,11000000.0
Capital Surplus,7207000000.0,7192000000.0,7165000000.0,7129000000.0
Total Liab,3932000000.0,4187000000.0,3949000000.0,4515000000.0
Total Stockholder Equity,3695000000.0,2640000000.0,2652000000.0,2663000000.0
Minority Interest,45000000.0,36000000.0,42000000.0,41000000.0
Other Current Liab,186000000.0,398000000.0,118000000.0,231000000.0
Total Assets,7672000000.0,6863000000.0,6643000000.0,7219000000.0
Common Stock,17000000.0,17000000.0,16000000.0,16000000.0
Other Current Assets,42000000.0,634000000.0,31000000.0,376000000.0
Retained Earnings,-2341000000.0,-3268000000.0,-3227000000.0,-3359000000.0
Other Liab,1068000000.0,1053000000.0,1245000000.0,1430000000.0
Good Will,126000000.0,116000000.0,116000000.0,127000000.0
Treasury Stock,-1188000000.0,-1301000000.0,-1302000000.0,-1123000000.0
Other Assets,342000000.0,351000000.0,243000000.0,261000000.0
Cash,1330000000.0,456000000.0,329000000.0,205000000.0
Total Current Liabilities,959000000.0,1709000000.0,793000000.0,855000000.0
Deferred Long Term Asset Charges,7000000.0,105000000.0,,4000000.0
Short Long Term Debt,142000000.0,734000000.0,139000000.0,38000000.0
Other Stockholder Equity,-1188000000.0,-1301000000.0,-1302000000.0,-1123000000.0
Property Plant Equipment,3026000000.0,2750000000.0,3381000000.0,3742000000.0
Total Current Assets,2334000000.0,1982000000.0,1227000000.0,1493000000.0
Long Term Investments,1839000000.0,1657000000.0,1669000000.0,1585000000.0
Net Tangible Assets,3564000000.0,2517000000.0,2529000000.0,2525000000.0
Net Receivables,173000000.0,189000000.0,167000000.0,160000000.0
Long Term Debt,1789000000.0,1299000000.0,1854000000.0,2157000000.0
Inventory,733000000.0,632000000.0,652000000.0,683000000.0
Accounts Payable,403000000.0,365000000.0,350000000.0,358000000.0
Short Term Investments,,10000000.0,6000000.0,7000000.0
