,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,907000000.0,874000000.0,390000000.0,405000000.0
Total Liab,6635000000.0,6383000000.0,6332000000.0,6884000000.0
Total Stockholder Equity,8075000000.0,8438000000.0,8301000000.0,7574000000.0
Other Current Liab,996000000.0,889000000.0,727000000.0,1099000000.0
Total Assets,14710000000.0,14821000000.0,14633000000.0,14458000000.0
Common Stock,5603000000.0,6223000000.0,6223000000.0,6223000000.0
Other Current Assets,856000000.0,1049000000.0,874000000.0,1137000000.0
Retained Earnings,2552000000.0,2248000000.0,2180000000.0,1335000000.0
Other Liab,1135000000.0,1052000000.0,997000000.0,891000000.0
Good Will,2879000000.0,2866000000.0,2881000000.0,2881000000.0
Treasury Stock,-80000000.0,-33000000.0,-102000000.0,16000000.0
Other Assets,905000000.0,854000000.0,750000000.0,987000000.0
Cash,141000000.0,115000000.0,463000000.0,154000000.0
Total Current Liabilities,2388000000.0,2546000000.0,2323000000.0,2731000000.0
Deferred Long Term Asset Charges,252000000.0,261000000.0,280000000.0,792000000.0
Short Long Term Debt,49000000.0,99000000.0,38000000.0,201000000.0
Other Stockholder Equity,-80000000.0,-33000000.0,-102000000.0,16000000.0
Property Plant Equipment,6640000000.0,6588000000.0,6757000000.0,6447000000.0
Total Current Assets,3122000000.0,3396000000.0,3690000000.0,3625000000.0
Long Term Investments,257000000.0,243000000.0,165000000.0,113000000.0
Net Tangible Assets,4289000000.0,4698000000.0,5030000000.0,4288000000.0
Net Receivables,1670000000.0,1792000000.0,1922000000.0,1944000000.0
Long Term Debt,2956000000.0,2636000000.0,2873000000.0,3232000000.0
Inventory,400000000.0,388000000.0,370000000.0,351000000.0
Accounts Payable,708000000.0,951000000.0,942000000.0,907000000.0
