,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,2660100000.0,2664200000.0,2514700000.0,2474500000.0
Total Stockholder Equity,6637100000.0,6032900000.0,5682100000.0,4029000000.0
Other Current Liab,112500000.0,80900000.0,126200000.0,108000000.0
Total Assets,9297200000.0,8697100000.0,8196800000.0,6503500000.0
Common Stock,1678600000.0,468200000.0,404200000.0,348300000.0
Retained Earnings,1308200000.0,1247800000.0,981300000.0,580600000.0
Other Liab,233800000.0,267200000.0,253200000.0,239300000.0
Treasury Stock,3650300000.0,4316900000.0,4296600000.0,3100100000.0
Other Assets,2042700000.0,1745400000.0,1425600000.0,1198000000.0
Cash,765300000.0,37300000.0,106700000.0,45100000.0
Total Current Liabilities,467300000.0,560000000.0,329100000.0,563500000.0
Short Long Term Debt,231900000.0,350000000.0,76300000.0,332100000.0
Other Stockholder Equity,4259500000.0,4926100000.0,4905800000.0,3709300000.0
Property Plant Equipment,6060800000.0,6577100000.0,6378000000.0,4947800000.0
Total Current Assets,848500000.0,106300000.0,178400000.0,104000000.0
Long Term Investments,345200000.0,268300000.0,214800000.0,253700000.0
Net Tangible Assets,6637100000.0,6032900000.0,5682100000.0,4029000000.0
Net Receivables,58600000.0,69000000.0,71500000.0,46600000.0
Long Term Debt,1959000000.0,1837000000.0,1932400000.0,1671700000.0
Accounts Payable,7900000.0,9800000.0,7600000.0,5400000.0
Inventory,,,200000.0,100000.0
