,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,152700000.0,167600000.0,146783000.0,117509000.0
Total Liab,4093200000.0,5076600000.0,3338559000.0,3247319000.0
Total Stockholder Equity,2951100000.0,3257000000.0,3376007000.0,3094418000.0
Minority Interest,273600000.0,13500000.0,13057000.0,13483000.0
Other Current Liab,822700000.0,585900000.0,501692000.0,633019000.0
Total Assets,7317900000.0,8347100000.0,6727623000.0,6355220000.0
Common Stock,502600000.0,502600000.0,524944000.0,524944000.0
Other Current Assets,72900000.0,45200000.0,130366000.0,66934000.0
Retained Earnings,2444500000.0,2737000000.0,2842357000.0,2610195000.0
Other Liab,553900000.0,305200000.0,333451000.0,299998000.0
Good Will,405700000.0,411200000.0,407436000.0,399357000.0
Treasury Stock,4000000.0,17400000.0,8706000.0,-40721000.0
Other Assets,506900000.0,253000000.0,264514000.0,281018000.0
Cash,367600000.0,35000000.0,6142000.0,44521000.0
Total Current Liabilities,1983800000.0,3212100000.0,2194194000.0,2358669000.0
Deferred Long Term Asset Charges,453800000.0,172200000.0,184160000.0,244073000.0
Other Stockholder Equity,5600000.0,19400000.0,11168000.0,-39511000.0
Property Plant Equipment,3467700000.0,3702500000.0,2889863000.0,2818353000.0
Total Current Assets,2611900000.0,3657900000.0,2871585000.0,2727623000.0
Long Term Investments,173000000.0,154900000.0,147442000.0,11360000.0
Net Tangible Assets,2392700000.0,2678200000.0,2821788000.0,2577552000.0
Net Receivables,837800000.0,1468200000.0,1118952000.0,921253000.0
Long Term Debt,801500000.0,842000000.0,810914000.0,588495000.0
Inventory,1333600000.0,2109500000.0,1616125000.0,1694915000.0
Accounts Payable,935800000.0,2354200000.0,1456442000.0,1361704000.0
Short Long Term Debt,,61000000.0,150257000.0,270077000.0
