,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Intangible Assets,2189724000.0,,,
Total Liab,1848052000.0,103870000.0,28366000.0,45335000.0
Total Stockholder Equity,2162075000.0,1072998000.0,864958000.0,822893000.0
Other Current Liab,63327000.0,5826000.0,,
Total Assets,4010127000.0,1176868000.0,893324000.0,868228000.0
Common Stock,2180211000.0,1536896000.0,1562914000.0,1615682000.0
Retained Earnings,-22042000.0,-515145000.0,-736076000.0,-804616000.0
Other Liab,50087000.0,44689000.0,,19400000.0
Good Will,58726000.0,,,
Treasury Stock,3906000.0,51247000.0,38120000.0,11827000.0
Other Assets,153440000.0,1735000.0,1773000.0,1763000.0
Cash,122690000.0,223367000.0,65381000.0,30116000.0
Total Current Liabilities,129613000.0,59181000.0,28366000.0,25935000.0
Short Long Term Debt,1734638000.0,,,
Other Stockholder Equity,3906000.0,51247000.0,38120000.0,11827000.0
Property Plant Equipment,728000.0,,,
Total Current Assets,124172000.0,224221000.0,83582000.0,31034000.0
Long Term Investments,1483337000.0,950912000.0,807969000.0,835431000.0
Net Tangible Assets,-86375000.0,1072998000.0,864958000.0,822893000.0
Net Receivables,618000.0,728000.0,18073000.0,797000.0
Long Term Debt,1668352000.0,,,
Accounts Payable,,2195000.0,1835000.0,721000.0
