,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,1994300000.0,2306800000.0,324800000.0,362200000.0
Capital Surplus,5480000000.0,6007500000.0,784400000.0,
Total Liab,11755000000.0,11490300000.0,8362100000.0,8213600000.0
Total Stockholder Equity,4625900000.0,5609000000.0,626600000.0,800100000.0
Minority Interest,61200000.0,65700000.0,68800000.0,69600000.0
Other Current Liab,1024300000.0,1058400000.0,760200000.0,301700000.0
Total Assets,16442100000.0,17165000000.0,9057500000.0,9083300000.0
Common Stock,15700000.0,16300000.0,,1425000000.0
Other Current Assets,7800000.0,421200000.0,8800000.0,14300000.0
Retained Earnings,246500000.0,323700000.0,561400000.0,264900000.0
Other Liab,1287300000.0,1639500000.0,615200000.0,693000000.0
Good Will,5339300000.0,5156000000.0,2056600000.0,2033300000.0
Treasury Stock,-1116300000.0,-738500000.0,-719200000.0,-889800000.0
Other Assets,324000000.0,385400000.0,218700000.0,197300000.0
Cash,742600000.0,601600000.0,620800000.0,561500000.0
Total Current Liabilities,3973600000.0,4541800000.0,5055200000.0,4034200000.0
Deferred Long Term Asset Charges,135400000.0,190900000.0,70700000.0,66700000.0
Short Long Term Debt,9700000.0,5400000.0,984100000.0,341600000.0
Other Stockholder Equity,-1049300000.0,-722400000.0,-708500000.0,-881700000.0
Property Plant Equipment,4140100000.0,3975000000.0,2698500000.0,2765300000.0
Total Current Assets,4534700000.0,5210100000.0,3620300000.0,3286500000.0
Long Term Investments,109700000.0,131700000.0,138600000.0,438700000.0
Net Tangible Assets,-2707700000.0,-1853800000.0,-1754800000.0,-1595400000.0
Net Receivables,1615900000.0,1864300000.0,1379000000.0,1328000000.0
Long Term Debt,5996800000.0,5304700000.0,2685200000.0,3480100000.0
Inventory,1831900000.0,1953800000.0,1358800000.0,1305500000.0
Accounts Payable,2170800000.0,2303400000.0,1861000000.0,2607900000.0
Deferred Long Term Liab,,,,13800000.0
