,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,231200000.0,235500000.0,227100000.0,221800000.0
Total Liab,1045200000.0,966500000.0,972300000.0,1221800000.0
Total Stockholder Equity,1391500000.0,1398400000.0,1534600000.0,1210900000.0
Minority Interest,11900000.0,12000000.0,15600000.0,17800000.0
Other Current Liab,61700000.0,62700000.0,73600000.0,111800000.0
Total Assets,2448600000.0,2376900000.0,2522500000.0,2450500000.0
Common Stock,806000000.0,873900000.0,1052600000.0,1142200000.0
Other Current Assets,30800000.0,25000000.0,39700000.0,222300000.0
Retained Earnings,717200000.0,621000000.0,580900000.0,158900000.0
Other Liab,127600000.0,128300000.0,120800000.0,142400000.0
Good Will,834700000.0,847100000.0,801300000.0,817400000.0
Treasury Stock,-131700000.0,-96500000.0,-98900000.0,-90200000.0
Other Assets,101000000.0,102600000.0,107100000.0,128700000.0
Cash,408900000.0,397500000.0,582800000.0,316600000.0
Total Current Liabilities,408400000.0,312900000.0,299500000.0,362700000.0
Deferred Long Term Asset Charges,68500000.0,66000000.0,67600000.0,88500000.0
Short Long Term Debt,50000000.0,20000000.0,,3800000.0
Other Stockholder Equity,-131700000.0,-96500000.0,-98900000.0,-90200000.0
Property Plant Equipment,307000000.0,229800000.0,230400000.0,217900000.0
Total Current Assets,961000000.0,959200000.0,1153300000.0,1060700000.0
Long Term Investments,13700000.0,2700000.0,3300000.0,4000000.0
Net Tangible Assets,325600000.0,315800000.0,506200000.0,171700000.0
Net Receivables,181200000.0,201100000.0,201000000.0,189900000.0
Long Term Debt,469900000.0,525300000.0,552000000.0,716700000.0
Inventory,340100000.0,335600000.0,329800000.0,331900000.0
Accounts Payable,220100000.0,185300000.0,182100000.0,197800000.0
Deferred Long Term Liab,,,,10600000.0
