,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Intangible Assets,3174282000.0,3355707000.0,3556246000.0,170804000.0
Total Liab,11067765000.0,10813564000.0,10270236000.0,5476021000.0
Total Stockholder Equity,3978130000.0,4029058000.0,4382598000.0,2496438000.0
Minority Interest,53000.0,53000.0,52000.0,51000.0
Other Current Liab,315262000.0,250300000.0,393707000.0,183276000.0
Total Assets,15045948000.0,14842675000.0,14652886000.0,7972510000.0
Common Stock,4090901000.0,4200519000.0,4200535000.0,2392632000.0
Other Current Assets,45002000.0,16276000.0,15857000.0,8403000.0
Retained Earnings,95002000.0,223874000.0,490260000.0,220443000.0
Other Liab,627181000.0,429384000.0,275164000.0,177262000.0
Good Will,1183604000.0,1184588000.0,1140500000.0,1150500000.0
Treasury Stock,-207773000.0,-395335000.0,-308197000.0,-116637000.0
Other Assets,80594000.0,70500000.0,127403000.0,170861000.0
Cash,394501000.0,84506000.0,411921000.0,7009000.0
Total Current Liabilities,698235000.0,883932000.0,808782000.0,373540000.0
Short Long Term Debt,10000708000.0,10023330000.0,9494658000.0,5014547000.0
Other Stockholder Equity,-207773000.0,-395335000.0,-308197000.0,-116637000.0
Property Plant Equipment,9150165000.0,9189087000.0,8355193000.0,5574481000.0
Total Current Assets,772331000.0,420792000.0,721254000.0,203368000.0
Long Term Investments,684972000.0,622001000.0,752290000.0,702496000.0
Net Tangible Assets,-379756000.0,-511237000.0,-314148000.0,1175134000.0
Short Term Investments,285000.0,285000.0,285000.0,285000.0
Net Receivables,289709000.0,263232000.0,254940000.0,156439000.0
Long Term Debt,9742349000.0,9500248000.0,9186290000.0,4925219000.0
Inventory,25260000.0,24891000.0,21290000.0,17349000.0
Accounts Payable,40827000.0,27310000.0,29754000.0,27037000.0
