,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,66782000.0,49265000.0,48920000.0,52934000.0
Total Liab,662175000.0,171952000.0,208670000.0,80244000.0
Total Stockholder Equity,943673000.0,645559000.0,183555000.0,160083000.0
Minority Interest,2678000.0,2957000.0,,
Other Current Liab,1593000.0,5470000.0,1834000.0,7360000.0
Total Assets,1608526000.0,820468000.0,392225000.0,240327000.0
Common Stock,975317000.0,674769000.0,192628000.0,171411000.0
Other Current Assets,6695000.0,9130000.0,31559000.0,20830000.0
Retained Earnings,-90355000.0,-70575000.0,-22195000.0,-13219000.0
Other Liab,3856000.0,1921000.0,522000.0,1874000.0
Good Will,39807000.0,39807000.0,23575000.0,23575000.0
Treasury Stock,58711000.0,41365000.0,13122000.0,1891000.0
Other Assets,78461000.0,27860000.0,10136000.0,10541000.0
Cash,606041000.0,231456000.0,32559000.0,29602000.0
Total Current Liabilities,193552000.0,120405000.0,46593000.0,31622000.0
Deferred Long Term Asset Charges,78291000.0,27280000.0,9261000.0,9066000.0
Short Long Term Debt,4278000.0,597000.0,50000.0,
Other Stockholder Equity,58711000.0,41365000.0,13122000.0,1891000.0
Property Plant Equipment,12126000.0,4213000.0,4008000.0,4460000.0
Total Current Assets,1405291000.0,696288000.0,303421000.0,148817000.0
Long Term Investments,6059000.0,3035000.0,2165000.0,
Net Tangible Assets,837084000.0,556487000.0,111060000.0,83574000.0
Short Term Investments,10660000.0,3003000.0,235000.0,
Net Receivables,781895000.0,452699000.0,239068000.0,98385000.0
Long Term Debt,457322000.0,49284000.0,161162000.0,46748000.0
Accounts Payable,180730000.0,109981000.0,42916000.0,22836000.0
