,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,561299000.0,792992000.0,771790000.0,682844000.0
Total Stockholder Equity,4722239000.0,5271319000.0,5077148000.0,4716514000.0
Other Current Liab,11511000.0,25705000.0,36413000.0,34904000.0
Total Assets,5283538000.0,6064311000.0,5848938000.0,5399358000.0
Common Stock,2883783000.0,2838980000.0,2795816000.0,2671527000.0
Retained Earnings,1599337000.0,2157248000.0,2029367000.0,1798764000.0
Other Liab,547677000.0,766676000.0,734808000.0,647400000.0
Treasury Stock,239119000.0,275091000.0,251965000.0,246223000.0
Cash,168728000.0,219006000.0,108519000.0,209483000.0
Total Current Liabilities,12567000.0,26316000.0,36982000.0,35444000.0
Other Stockholder Equity,239119000.0,275091000.0,251965000.0,246223000.0
Property Plant Equipment,1789000.0,537000.0,261000.0,275000.0
Total Current Assets,212825000.0,315924000.0,362429000.0,311133000.0
Long Term Investments,5068924000.0,5747794000.0,5486170000.0,5087851000.0
Net Tangible Assets,4722239000.0,5271319000.0,5077148000.0,4716514000.0
Short Term Investments,12500000.0,10595000.0,130729000.0,49129000.0
Net Receivables,31597000.0,86323000.0,123181000.0,52521000.0
Other Assets,,56000.0,78000.0,99000.0
