,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1717000000.0,1726000000.0,1733900000.0,1737700000.0
Total Liab,11194700000.0,11279200000.0,9526700000.0,8961300000.0
Total Stockholder Equity,3434900000.0,3005600000.0,3289100000.0,3556000000.0
Other Current Liab,114000000.0,89600000.0,99800000.0,69600000.0
Total Assets,14629600000.0,14284800000.0,12815800000.0,12517300000.0
Common Stock,5492600000.0,5359300000.0,5232100000.0,5172800000.0
Other Current Assets,45000000.0,218200000.0,157900000.0,25200000.0
Retained Earnings,786600000.0,831300000.0,922900000.0,1048900000.0
Other Liab,1059500000.0,719900000.0,808400000.0,748600000.0
Good Will,12000000.0,35800000.0,35800000.0,35800000.0
Treasury Stock,-2844300000.0,-3185000000.0,-2865900000.0,-2665700000.0
Other Assets,766500000.0,1628800000.0,473900000.0,682900000.0
Cash,827900000.0,155300000.0,339400000.0,658200000.0
Total Current Liabilities,763300000.0,1369900000.0,1404400000.0,920500000.0
Short Long Term Debt,325400000.0,960700000.0,982200000.0,542600000.0
Other Stockholder Equity,-2844300000.0,-3185000000.0,-2865900000.0,-2665700000.0
Property Plant Equipment,10163000000.0,9878700000.0,9562500000.0,9068400000.0
Total Current Assets,1841000000.0,893600000.0,765400000.0,921200000.0
Long Term Investments,130100000.0,121900000.0,244300000.0,71300000.0
Net Tangible Assets,1705900000.0,1243800000.0,1519400000.0,1782500000.0
Short Term Investments,719800000.0,249700000.0,,
Net Receivables,204700000.0,226200000.0,212000000.0,195300000.0
Long Term Debt,9287500000.0,9101200000.0,7313900000.0,7292200000.0
Inventory,43500000.0,44200000.0,50500000.0,42300000.0
Accounts Payable,38400000.0,40700000.0,57600000.0,41000000.0
