,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,201650000.0,199614000.0,182017000.0,22650000.0
Total Liab,609374000.0,686163000.0,583825000.0,483586000.0
Total Stockholder Equity,814039000.0,815014000.0,631991000.0,572674000.0
Other Current Liab,20085000.0,23983000.0,11595000.0,65565000.0
Total Assets,1423413000.0,1501177000.0,1215816000.0,1056260000.0
Common Stock,480507000.0,477494000.0,274862000.0,224692000.0
Other Current Assets,1309000.0,754000.0,707000.0,1546000.0
Retained Earnings,312673000.0,314660000.0,335663000.0,326326000.0
Other Liab,47850000.0,46044000.0,38652000.0,1722000.0
Good Will,346486000.0,346486000.0,229446000.0,
Treasury Stock,20859000.0,22860000.0,21466000.0,21656000.0
Other Assets,8749000.0,18472000.0,9709000.0,16172000.0
Cash,22882000.0,28760000.0,21669000.0,475533000.0
Total Current Liabilities,305974000.0,324061000.0,278191000.0,266584000.0
Deferred Long Term Asset Charges,6696000.0,4444000.0,3589000.0,16172000.0
Other Stockholder Equity,20859000.0,22860000.0,21466000.0,21656000.0
Property Plant Equipment,454724000.0,443331000.0,323585000.0,196799000.0
Total Current Assets,409685000.0,491217000.0,469031000.0,818472000.0
Long Term Investments,2119000.0,2057000.0,2028000.0,2167000.0
Net Tangible Assets,265903000.0,268914000.0,220528000.0,550024000.0
Net Receivables,110820000.0,170321000.0,230099000.0,168106000.0
Long Term Debt,247260000.0,316058000.0,266975000.0,215280000.0
Inventory,257372000.0,272625000.0,211210000.0,167898000.0
Accounts Payable,201812000.0,195284000.0,181453000.0,134681000.0
Short Long Term Debt,,,11000.0,64000.0
