,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,1395400000.0,1539500000.0,2238800000.0,491100000.0
Total Stockholder Equity,2819800000.0,2374400000.0,1838000000.0,1402000000.0
Other Current Liab,412500000.0,599700000.0,471300000.0,121000000.0
Total Assets,4215200000.0,3913900000.0,4076800000.0,1893100000.0
Common Stock,1861200000.0,1860600000.0,1859100000.0,1558500000.0
Other Current Assets,59000000.0,28100000.0,45100000.0,7800000.0
Retained Earnings,927900000.0,472700000.0,-59000000.0,-216300000.0
Other Liab,847200000.0,926200000.0,830400000.0,216900000.0
Good Will,57100000.0,57100000.0,83900000.0,
Treasury Stock,30700000.0,41100000.0,37900000.0,59800000.0
Other Assets,108700000.0,149500000.0,74100000.0,79500000.0
Cash,109900000.0,171900000.0,311200000.0,348000000.0
Total Current Liabilities,456200000.0,613300000.0,482700000.0,126200000.0
Deferred Long Term Asset Charges,33600000.0,79800000.0,68800000.0,79300000.0
Other Stockholder Equity,30700000.0,41100000.0,37900000.0,59800000.0
Property Plant Equipment,3541800000.0,3108800000.0,3194600000.0,1241400000.0
Total Current Assets,507600000.0,598500000.0,724200000.0,521900000.0
Net Tangible Assets,2762700000.0,2317300000.0,1754100000.0,1402000000.0
Net Receivables,231800000.0,299000000.0,273500000.0,116000000.0
Long Term Debt,56700000.0,,925700000.0,148000000.0
Inventory,106900000.0,99500000.0,94400000.0,50100000.0
Long Term Investments,,,,50300000.0
