,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,583832000.0,507728000.0,536480000.0,550664000.0
Total Stockholder Equity,1968745000.0,1874594000.0,1833049000.0,1762106000.0
Other Current Liab,68386000.0,80882000.0,68794000.0,67913000.0
Total Assets,2552577000.0,2382322000.0,2369529000.0,2312770000.0
Common Stock,945558000.0,945558000.0,945558000.0,945558000.0
Other Current Assets,3570000.0,5263000.0,74088000.0,37483000.0
Retained Earnings,1025959000.0,932809000.0,889789000.0,821105000.0
Treasury Stock,-2772000.0,-3773000.0,-2298000.0,-4557000.0
Cash,64189000.0,17911000.0,14230000.0,15611000.0
Total Current Liabilities,78198000.0,91611000.0,277292000.0,75723000.0
Short Long Term Debt,363000.0,368000.0,200698000.0,756000.0
Other Stockholder Equity,-2772000.0,-3773000.0,-2298000.0,-4557000.0
Property Plant Equipment,2484200000.0,2358200000.0,2281000000.0,2259300000.0
Total Current Assets,68377000.0,24122000.0,88529000.0,53470000.0
Net Tangible Assets,1968745000.0,1874594000.0,1833049000.0,1762106000.0
Net Receivables,618000.0,948000.0,211000.0,376000.0
Long Term Debt,505634000.0,416117000.0,259188000.0,474941000.0
Accounts Payable,5378000.0,6647000.0,4282000.0,3722000.0
