,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,67100000.0,65400000.0,111100000.0,120600000.0
Total Liab,4326800000.0,3922100000.0,5049200000.0,4901000000.0
Total Stockholder Equity,2756400000.0,3808200000.0,2778400000.0,2846700000.0
Other Current Liab,484700000.0,458200000.0,580100000.0,154700000.0
Total Assets,7083200000.0,7730300000.0,7827600000.0,7747700000.0
Common Stock,5427200000.0,6187400000.0,6218500000.0,6201100000.0
Other Current Assets,12100000.0,6000000.0,5700000.0,150100000.0
Retained Earnings,4793500000.0,4943300000.0,3813600000.0,3798400000.0
Other Liab,451900000.0,406200000.0,478900000.0,717600000.0
Good Will,192500000.0,220800000.0,911700000.0,907500000.0
Treasury Stock,-7464300000.0,-7322500000.0,-7253700000.0,-7152800000.0
Other Assets,129300000.0,138200000.0,106700000.0,245600000.0
Cash,737300000.0,1691300000.0,180200000.0,159700000.0
Total Current Liabilities,1506300000.0,1872500000.0,2173200000.0,2124400000.0
Deferred Long Term Asset Charges,96300000.0,73600000.0,38200000.0,42600000.0
Short Long Term Debt,36300000.0,555900000.0,77200000.0,628800000.0
Other Stockholder Equity,-7464300000.0,-7322500000.0,-7253700000.0,-7152800000.0
Property Plant Equipment,5008100000.0,4313200000.0,5139700000.0,4861100000.0
Total Current Assets,1686200000.0,2992700000.0,1558400000.0,1592100000.0
Net Tangible Assets,2496800000.0,3522000000.0,1755600000.0,1818600000.0
Short Term Investments,68600000.0,411200000.0,,
Net Receivables,726300000.0,777600000.0,1265800000.0,1180400000.0
Long Term Debt,1777200000.0,1643400000.0,2380800000.0,2042400000.0
Inventory,67500000.0,59800000.0,60300000.0,56800000.0
Accounts Payable,438400000.0,420700000.0,526900000.0,423300000.0
Long Term Investments,,,,20800000.0
