,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,2930000.0,3547000.0,3607000.0,3677000.0
Total Liab,104223000.0,63103000.0,66237000.0,67680000.0
Total Stockholder Equity,247303000.0,211342000.0,188184000.0,165087000.0
Minority Interest,40000.0,-128000.0,-119000.0,-92000.0
Deferred Long Term Liab,67777000.0,69857000.0,59830000.0,54189000.0
Other Current Liab,39375000.0,24960000.0,28162000.0,35430000.0
Total Assets,351566000.0,274317000.0,254302000.0,232675000.0
Common Stock,247303000.0,211342000.0,188184000.0,165087000.0
Other Current Assets,1025000.0,4296000.0,4036000.0,4720000.0
Other Liab,6508000.0,9274000.0,6535000.0,7758000.0
Good Will,83816000.0,84280000.0,82978000.0,82529000.0
Other Assets,67777000.0,69857000.0,59830000.0,54189000.0
Cash,92830000.0,37521000.0,27711000.0,21421000.0
Total Current Liabilities,70936000.0,53829000.0,59702000.0,59922000.0
Property Plant Equipment,39543000.0,14126000.0,12489000.0,11985000.0
Total Current Assets,157500000.0,102507000.0,95398000.0,80295000.0
Net Tangible Assets,160557000.0,123515000.0,101599000.0,78881000.0
Net Receivables,27713000.0,20176000.0,29875000.0,20821000.0
Inventory,32606000.0,36703000.0,31588000.0,31027000.0
Accounts Payable,21548000.0,22634000.0,25693000.0,18918000.0
