,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,227000000.0,246000000.0,262000000.0,321000000.0
Total Liab,2275000000.0,2172000000.0,2584000000.0,2677000000.0
Total Stockholder Equity,2621000000.0,2782000000.0,2727000000.0,2778000000.0
Other Current Liab,91000000.0,82000000.0,77000000.0,68000000.0
Total Assets,4896000000.0,4954000000.0,5311000000.0,5455000000.0
Common Stock,1528000000.0,1523000000.0,1520000000.0,1515000000.0
Other Current Assets,40000000.0,27000000.0,323000000.0,11000000.0
Retained Earnings,1134000000.0,1288000000.0,1194000000.0,1263000000.0
Other Liab,796000000.0,809000000.0,850000000.0,858000000.0
Good Will,179000000.0,179000000.0,179000000.0,182000000.0
Treasury Stock,-41000000.0,-29000000.0,13000000.0,
Other Assets,119000000.0,94000000.0,81000000.0,38000000.0
Cash,44000000.0,47000000.0,3000000.0,6000000.0
Total Current Liabilities,501000000.0,394000000.0,762000000.0,661000000.0
Short Long Term Debt,219000000.0,121000000.0,511000000.0,388000000.0
Other Stockholder Equity,-41000000.0,-29000000.0,13000000.0,
Property Plant Equipment,4026000000.0,4126000000.0,4253000000.0,4611000000.0
Total Current Assets,331000000.0,298000000.0,536000000.0,268000000.0
Long Term Investments,14000000.0,11000000.0,,35000000.0
Net Tangible Assets,2215000000.0,2357000000.0,2286000000.0,2275000000.0
Net Receivables,187000000.0,192000000.0,172000000.0,194000000.0
Long Term Debt,956000000.0,944000000.0,943000000.0,1117000000.0
Inventory,56000000.0,28000000.0,35000000.0,46000000.0
Accounts Payable,190000000.0,185000000.0,172000000.0,202000000.0
