,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,496741000.0,500696000.0,449409000.0,412519000.0
Total Stockholder Equity,1139043000.0,749547000.0,647490000.0,508962000.0
Other Current Liab,34621000.0,24818000.0,19132000.0,14117000.0
Total Assets,1635784000.0,1250243000.0,1096899000.0,921481000.0
Common Stock,1067398000.0,687971000.0,626317000.0,538551000.0
Other Current Assets,11300000.0,13515000.0,13227000.0,13250000.0
Retained Earnings,71645000.0,61576000.0,21173000.0,-29589000.0
Good Will,10501000.0,10501000.0,10501000.0,10501000.0
Cash,17078000.0,9348000.0,21177000.0,8189000.0
Total Current Liabilities,38321000.0,28724000.0,156411000.0,72366000.0
Property Plant Equipment,1591100000.0,1209850000.0,999000000.0,886150000.0
Total Current Assets,34183000.0,29892000.0,38024000.0,24830000.0
Net Tangible Assets,1128542000.0,739046000.0,636989000.0,498461000.0
Net Receivables,5805000.0,7029000.0,3606000.0,3391000.0
Long Term Debt,458420000.0,471972000.0,292998000.0,340153000.0
Accounts Payable,3700000.0,3906000.0,2279000.0,3030000.0
Short Long Term Debt,,,135000000.0,55219000.0
Long Term Investments,,,49374000.0,
