,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Intangible Assets,5700000.0,11400000.0,18000000.0,1120000.0
Total Liab,1771000000.0,1378100000.0,1294900000.0,1205942000.0
Total Stockholder Equity,12200000.0,-5000000.0,64500000.0,66123000.0
Minority Interest,1627700000.0,1505200000.0,1229700000.0,1197875000.0
Other Current Liab,268000000.0,70400000.0,73200000.0,53684000.0
Total Assets,3410900000.0,2878300000.0,2589100000.0,2469940000.0
Common Stock,106900000.0,106500000.0,105400000.0,104370000.0
Other Current Assets,448000000.0,58000000.0,64600000.0,2714000.0
Retained Earnings,-112900000.0,-129400000.0,-52300000.0,-44176000.0
Other Liab,1300000.0,2300000.0,3900000.0,1185000.0
Good Will,66600000.0,66900000.0,147700000.0,
Treasury Stock,18200000.0,17900000.0,11400000.0,5929000.0
Other Assets,2366600000.0,2279400000.0,2105800000.0,2253742000.0
Cash,66900000.0,41600000.0,109000000.0,117820000.0
Total Current Liabilities,495500000.0,254600000.0,186800000.0,178590000.0
Deferred Long Term Asset Charges,3400000.0,1300000.0,1200000.0,1272000.0
Short Long Term Debt,1462400000.0,1262000000.0,1182800000.0,1131999000.0
Other Stockholder Equity,18200000.0,17900000.0,11400000.0,5929000.0
Property Plant Equipment,3500000.0,3100000.0,3600000.0,1770000.0
Total Current Assets,551100000.0,134100000.0,193100000.0,125236000.0
Long Term Investments,417400000.0,383400000.0,120900000.0,88072000.0
Net Tangible Assets,-60100000.0,-83300000.0,-101200000.0,65003000.0
Net Receivables,36200000.0,34500000.0,19500000.0,4702000.0
Long Term Debt,1274200000.0,1121200000.0,1104200000.0,1026167000.0
Accounts Payable,35400000.0,40100000.0,32200000.0,17863000.0
