,2017-06-30,2016-06-30,2015-06-30,2014-06-30
Intangible Assets,92128000.0,,,
Total Liab,700584000.0,448139000.0,432495000.0,562794000.0
Total Stockholder Equity,90568000.0,117969000.0,108878000.0,103444000.0
Minority Interest,251383000.0,9698000.0,9973000.0,
Other Current Liab,15522000.0,985000.0,,
Total Assets,1042535000.0,575806000.0,551346000.0,666238000.0
Common Stock,77323000.0,88058000.0,88112000.0,89167000.0
Other Current Assets,18511000.0,25054000.0,1040000.0,
Retained Earnings,11694000.0,28452000.0,19982000.0,14151000.0
Other Liab,408091000.0,357156000.0,387664000.0,412334000.0
Good Will,65535000.0,53025000.0,53025000.0,53025000.0
Treasury Stock,1551000.0,1459000.0,784000.0,126000.0
Other Assets,297295000.0,71212000.0,453984000.0,593422000.0
Cash,74382000.0,84323000.0,25487000.0,13115000.0
Total Current Liabilities,37066000.0,60405000.0,15952000.0,10149000.0
Short Long Term Debt,255427000.0,80729000.0,38488000.0,141203000.0
Other Stockholder Equity,1551000.0,1459000.0,784000.0,126000.0
Total Current Assets,263080000.0,145738000.0,37773000.0,17807000.0
Long Term Investments,324497000.0,305831000.0,5430000.0,953000.0
Net Tangible Assets,-67095000.0,64944000.0,55853000.0,50419000.0
Net Receivables,16380000.0,17450000.0,10423000.0,3271000.0
Long Term Debt,255427000.0,30578000.0,28879000.0,140311000.0
Accounts Payable,15322000.0,4285000.0,2120000.0,4079000.0
Deferred Long Term Asset Charges,,,819000.0,3603000.0
Property Plant Equipment,,,1134000.0,1031000.0
Short Term Investments,,,26000.0,
