,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,7134000.0,8491000.0,9910000.0,11328000.0
Total Liab,420332000.0,412473000.0,349037000.0,309413000.0
Total Stockholder Equity,161613000.0,95067000.0,79962000.0,74883000.0
Other Current Liab,28038000.0,31592000.0,12534000.0,13199000.0
Total Assets,581945000.0,507540000.0,428999000.0,384296000.0
Common Stock,131790000.0,62516000.0,57982000.0,56868000.0
Other Current Assets,2780000.0,,,
Retained Earnings,29553000.0,31917000.0,21453000.0,17880000.0
Other Liab,6091000.0,7004000.0,6276000.0,6147000.0
Good Will,17799000.0,17799000.0,17799000.0,17801000.0
Treasury Stock,270000.0,634000.0,527000.0,135000.0
Other Assets,6135000.0,5151000.0,3682000.0,4320000.0
Cash,30368000.0,22573000.0,6613000.0,9394000.0
Total Current Liabilities,413727000.0,402865000.0,303116000.0,263906000.0
Deferred Long Term Asset Charges,6135000.0,5151000.0,3682000.0,4320000.0
Other Stockholder Equity,270000.0,634000.0,527000.0,135000.0
Property Plant Equipment,80300000.0,37172000.0,46765000.0,45895000.0
Total Current Assets,470577000.0,438927000.0,350843000.0,304952000.0
Net Tangible Assets,136680000.0,68777000.0,52253000.0,45754000.0
Net Receivables,324183000.0,295921000.0,238741000.0,206993000.0
Inventory,113246000.0,120433000.0,105489000.0,88565000.0
Accounts Payable,250319000.0,228405000.0,212333000.0,188002000.0
Short Long Term Debt,,39930000.0,,
Long Term Debt,,,39645000.0,39360000.0
