,2020-06-30,2019-06-30,2018-06-24,2017-06-25
Intangible Assets,335695000.0,342156000.0,342132000.0,72655000.0
Total Liab,368209000.0,312900000.0,351611000.0,227889000.0
Total Stockholder Equity,902461000.0,1160113000.0,1322657000.0,99655000.0
Minority Interest,5835000.0,3411000.0,10795000.0,10241000.0
Other Current Liab,27850000.0,38189000.0,34913000.0,12281000.0
Total Assets,1276505000.0,1476424000.0,1685063000.0,337785000.0
Common Stock,1296462000.0,1292679000.0,1285877000.0,740000.0
Other Current Assets,3488000.0,,,
Retained Earnings,-356533000.0,-94574000.0,78195000.0,107343000.0
Other Liab,81762000.0,89268000.0,97412000.0,18159000.0
Good Will,777827000.0,1023071000.0,1192522000.0,160849000.0
Treasury Stock,-37468000.0,-37992000.0,-41415000.0,-8428000.0
Other Assets,5692000.0,,,953000.0
Cash,65497000.0,49315000.0,60832000.0,58292000.0
Total Current Liabilities,76077000.0,61092000.0,66881000.0,209730000.0
Other Stockholder Equity,-37468000.0,-37992000.0,-41415000.0,-8428000.0
Property Plant Equipment,47814000.0,15874000.0,23401000.0,1043000.0
Total Current Assets,109477000.0,95323000.0,123630000.0,85262000.0
Net Tangible Assets,-211061000.0,-205114000.0,-211997000.0,-133849000.0
Net Receivables,38042000.0,41498000.0,60629000.0,26453000.0
Long Term Debt,171254000.0,162540000.0,187318000.0,
Accounts Payable,32217000.0,17112000.0,25166000.0,196909000.0
Long Term Investments,,,3378000.0,17023000.0
Deferred Long Term Asset Charges,,,,953000.0
