,2020-06-28,2019-06-30,2018-07-01,2017-07-02
Intangible Assets,297549000.0,287955000.0,294214000.0,242013000.0
Total Liab,2077732000.0,1092406000.0,994747000.0,717729000.0
Total Stockholder Equity,393373000.0,346007000.0,307664000.0,415064000.0
Deferred Long Term Liab,89156000.0,80842000.0,71493000.0,60732000.0
Other Current Liab,144613000.0,114651000.0,98551000.0,127050000.0
Total Assets,2471105000.0,1438413000.0,1302411000.0,1132793000.0
Common Stock,235420000.0,206218000.0,192808000.0,340040000.0
Other Current Assets,15827000.0,9539000.0,11720000.0,10518000.0
Retained Earnings,227969000.0,197060000.0,191227000.0,160569000.0
Other Liab,220944000.0,197976000.0,198903000.0,173362000.0
Good Will,492549000.0,475005000.0,428804000.0,387111000.0
Treasury Stock,-70016000.0,-57271000.0,-76371000.0,-85545000.0
Other Assets,504577000.0,153873000.0,146929000.0,113939000.0
Cash,245678000.0,101404000.0,75996000.0,50454000.0
Total Current Liabilities,535659000.0,246472000.0,201045000.0,230146000.0
Deferred Long Term Asset Charges,6005000.0,2618000.0,,
Short Long Term Debt,50667000.0,467000.0,49000.0,15543000.0
Other Stockholder Equity,-70016000.0,-57271000.0,-76371000.0,-85545000.0
Property Plant Equipment,651830000.0,253152000.0,200103000.0,198674000.0
Total Current Assets,522399000.0,265307000.0,229599000.0,187825000.0
Long Term Investments,2201000.0,3121000.0,2762000.0,3231000.0
Net Tangible Assets,-396725000.0,-416953000.0,-415354000.0,-214060000.0
Net Receivables,210143000.0,112009000.0,105653000.0,90011000.0
Long Term Debt,658080000.0,636699000.0,585363000.0,301680000.0
Inventory,30857000.0,27162000.0,22054000.0,21911000.0
Accounts Payable,223202000.0,116137000.0,88644000.0,73669000.0
