,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Intangible Assets,159295000.0,106877000.0,81073000.0,72014000.0
Total Liab,881739000.0,523847000.0,621670000.0,544474000.0
Total Stockholder Equity,671001000.0,491657000.0,306774000.0,255541000.0
Minority Interest,1325000.0,1226000.0,1775000.0,2137000.0
Other Current Liab,69447000.0,47616000.0,47656000.0,44144000.0
Total Assets,1554065000.0,1016730000.0,930219000.0,802152000.0
Common Stock,1645561000.0,1562377000.0,1426835000.0,1422255000.0
Retained Earnings,-946890000.0,-1043490000.0,-1094027000.0,-1139118000.0
Other Liab,9908000.0,18830000.0,17666000.0,9267000.0
Good Will,146952000.0,59977000.0,47918000.0,9216000.0
Treasury Stock,-27670000.0,-27230000.0,-26034000.0,-27596000.0
Other Assets,103767000.0,97184000.0,78014000.0,59382000.0
Cash,50741000.0,7313000.0,11641000.0,35186000.0
Total Current Liabilities,770830000.0,504147000.0,602930000.0,534991000.0
Deferred Long Term Asset Charges,103767000.0,97184000.0,78014000.0,59382000.0
Other Stockholder Equity,-27670000.0,-27230000.0,-26034000.0,-27596000.0
Property Plant Equipment,133070000.0,27405000.0,27318000.0,29885000.0
Total Current Assets,953239000.0,670272000.0,640290000.0,576544000.0
Long Term Investments,57742000.0,55015000.0,55606000.0,55111000.0
Net Tangible Assets,364754000.0,324803000.0,177783000.0,174311000.0
Net Receivables,599459000.0,479110000.0,443478000.0,383789000.0
Long Term Debt,25000000.0,,,
Inventory,300664000.0,181430000.0,180285000.0,155717000.0
Accounts Payable,452775000.0,314605000.0,326405000.0,314750000.0
Other Current Assets,,,3568000.0,
