,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,34759000.0,34153000.0,39305000.0,45427000.0
Total Liab,1726142000.0,654936000.0,641981000.0,586037000.0
Total Stockholder Equity,975191000.0,1131468000.0,1088598000.0,1050289000.0
Other Current Liab,477459000.0,196889000.0,173788000.0,179461000.0
Total Assets,2701333000.0,1786404000.0,1730579000.0,1636326000.0
Common Stock,219126000.0,219126000.0,219126000.0,219126000.0
Other Current Assets,455837000.0,144665000.0,,
Retained Earnings,683151000.0,838397000.0,804576000.0,776230000.0
Other Liab,34242000.0,37081000.0,39567000.0,37862000.0
Good Will,58070000.0,59171000.0,62018000.0,63472000.0
Treasury Stock,72914000.0,73945000.0,64896000.0,54933000.0
Other Assets,135428000.0,104985000.0,81760000.0,79217000.0
Cash,67062000.0,71925000.0,95564000.0,92318000.0
Total Current Liabilities,1086688000.0,240701000.0,226059000.0,545815000.0
Deferred Long Term Asset Charges,58636000.0,25337000.0,4771000.0,6333000.0
Short Long Term Debt,488300000.0,,1127000.0,325441000.0
Other Stockholder Equity,72914000.0,73945000.0,64896000.0,54933000.0
Property Plant Equipment,1857285000.0,1276309000.0,1321917000.0,1237708000.0
Total Current Assets,598628000.0,299509000.0,188891000.0,178236000.0
Long Term Investments,17163000.0,12277000.0,36688000.0,32266000.0
Net Tangible Assets,882362000.0,1038144000.0,987275000.0,941390000.0
Net Receivables,49439000.0,53605000.0,55293000.0,55051000.0
Long Term Debt,859000.0,377154000.0,376355000.0,2360000.0
Inventory,18573000.0,18474000.0,21552000.0,20409000.0
Accounts Payable,17392000.0,23767000.0,30759000.0,20381000.0
