,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,80000000.0,73900000.0,61500000.0,50400000.0
Total Liab,554100000.0,461200000.0,293500000.0,263700000.0
Total Stockholder Equity,1520900000.0,973800000.0,913200000.0,761400000.0
Other Current Liab,256200000.0,115300000.0,64400000.0,72300000.0
Total Assets,2075000000.0,1435000000.0,1206700000.0,1025100000.0
Common Stock,249100000.0,225400000.0,219200000.0,201400000.0
Other Current Assets,42900000.0,4100000.0,19000000.0,18500000.0
Retained Earnings,1029200000.0,686300000.0,549200000.0,467300000.0
Other Liab,33900000.0,81000000.0,39800000.0,32600000.0
Treasury Stock,242600000.0,62100000.0,144800000.0,92700000.0
Other Assets,192900000.0,107100000.0,88100000.0,73200000.0
Cash,97300000.0,67100000.0,48200000.0,31900000.0
Total Current Liabilities,427500000.0,334600000.0,184400000.0,178400000.0
Deferred Long Term Asset Charges,81300000.0,90700000.0,38900000.0,34700000.0
Short Long Term Debt,500000.0,50600000.0,200000.0,13900000.0
Other Stockholder Equity,242600000.0,62100000.0,144800000.0,95700000.0
Property Plant Equipment,882100000.0,735300000.0,601400000.0,476400000.0
Total Current Assets,920000000.0,518700000.0,455300000.0,424200000.0
Net Tangible Assets,1440900000.0,899900000.0,851700000.0,711000000.0
Short Term Investments,280300000.0,77700000.0,92500000.0,100400000.0
Net Receivables,228900000.0,223300000.0,159300000.0,147700000.0
Long Term Debt,63700000.0,23600000.0,69300000.0,52700000.0
Inventory,270600000.0,146500000.0,136100000.0,125400000.0
Accounts Payable,56700000.0,69300000.0,55100000.0,32700000.0
Long Term Investments,,,400000.0,900000.0
