,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Intangible Assets,30900000.0,35300000.0,35500000.0,43700000.0
Total Liab,3851400000.0,3535700000.0,3481400000.0,3227400000.0
Total Stockholder Equity,9107000000.0,8282200000.0,7525100000.0,6931700000.0
Other Current Liab,253000000.0,233700000.0,223400000.0,198600000.0
Total Assets,12958400000.0,11817900000.0,11006500000.0,10159100000.0
Common Stock,8140500000.0,8129800000.0,8034700000.0,7904400000.0
Other Current Assets,7000000.0,14000000.0,204500000.0,10500000.0
Retained Earnings,950100000.0,124100000.0,-524800000.0,-996000000.0
Other Liab,2300000.0,1800000.0,1900000.0,2000000.0
Treasury Stock,16400000.0,28300000.0,15200000.0,23300000.0
Other Assets,160300000.0,142800000.0,228700000.0,244100000.0
Cash,49900000.0,56300000.0,69300000.0,72400000.0
Total Current Liabilities,450400000.0,457600000.0,422600000.0,374000000.0
Deferred Long Term Asset Charges,16900000.0,7500000.0,30200000.0,32400000.0
Short Long Term Debt,3427700000.0,3125100000.0,3063900000.0,2862800000.0
Other Stockholder Equity,16400000.0,28300000.0,15200000.0,23300000.0
Property Plant Equipment,8755600000.0,7958400000.0,7386900000.0,7107900000.0
Total Current Assets,191000000.0,224000000.0,474700000.0,190800000.0
Long Term Investments,3820600000.0,3457400000.0,2880700000.0,2572600000.0
Net Tangible Assets,9076100000.0,8246900000.0,7489600000.0,6888000000.0
Net Receivables,118900000.0,149200000.0,200900000.0,104400000.0
Long Term Debt,3398700000.0,3076300000.0,3056900000.0,2851400000.0
Inventory,11800000.0,4500000.0,,
Accounts Payable,124500000.0,133100000.0,152800000.0,128800000.0
