,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,79300000.0,77900000.0,63000000.0,166600000.0
Total Liab,2635200000.0,1301600000.0,1307400000.0,1245000000.0
Total Stockholder Equity,1931300000.0,2051100000.0,1818900000.0,1867600000.0
Other Current Liab,479100000.0,52900000.0,61000000.0,40100000.0
Total Assets,4566500000.0,3352700000.0,3126300000.0,3114100000.0
Common Stock,2672300000.0,2671100000.0,2424200000.0,2422800000.0
Other Current Assets,915600000.0,,,
Retained Earnings,-737600000.0,-612400000.0,-618200000.0,-565700000.0
Other Liab,74200000.0,96500000.0,69900000.0,34000000.0
Good Will,2040200000.0,2482500000.0,2348700000.0,2315500000.0
Treasury Stock,-3400000.0,-7600000.0,12900000.0,10500000.0
Other Assets,82400000.0,118200000.0,119600000.0,54600000.0
Cash,137500000.0,119700000.0,84000000.0,95500000.0
Total Current Liabilities,972800000.0,392600000.0,374900000.0,331600000.0
Deferred Long Term Asset Charges,74400000.0,73900000.0,64600000.0,50800000.0
Short Long Term Debt,9500000.0,6900000.0,500000.0,800000.0
Other Stockholder Equity,-3400000.0,-7600000.0,12900000.0,10500000.0
Property Plant Equipment,1043600000.0,327000000.0,297500000.0,299000000.0
Total Current Assets,1319800000.0,346500000.0,287000000.0,266500000.0
Long Term Investments,1200000.0,600000.0,10500000.0,11900000.0
Net Tangible Assets,-188200000.0,-509300000.0,-592800000.0,-614500000.0
Net Receivables,227000000.0,186300000.0,165900000.0,130100000.0
Long Term Debt,824300000.0,812300000.0,861700000.0,879400000.0
Inventory,26900000.0,22700000.0,22200000.0,25100000.0
Accounts Payable,203000000.0,222900000.0,209200000.0,203300000.0
Minority Interest,,,,1500000.0
