,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,23637676.0,20742975.0,15697730.0,12748521.0
Total Liab,22994151.0,12598237.0,14556362.0,19496588.0
Total Stockholder Equity,74823371.0,64923542.0,57865566.0,43615440.0
Other Current Liab,4755987.0,3478724.0,4667975.0,8340674.0
Total Assets,97817522.0,77521779.0,72421928.0,63112028.0
Common Stock,100172838.0,98225656.0,96231758.0,89213158.0
Other Current Assets,1799377.0,780997.0,764737.0,644566.0
Retained Earnings,-34145795.0,-38520403.0,-42261192.0,-49639941.0
Other Liab,3668718.0,3922593.0,4830994.0,7555919.0
Good Will,16325588.0,16325588.0,16325588.0,15336909.0
Treasury Stock,8796328.0,5218289.0,3895000.0,4042223.0
Other Assets,5101024.0,11685343.0,15372508.0,15892492.0
Cash,33809323.0,18465847.0,16958996.0,10836646.0
Total Current Liabilities,14940163.0,8675644.0,9725368.0,11940669.0
Deferred Long Term Asset Charges,5101024.0,9685343.0,13361288.0,15776822.0
Other Stockholder Equity,8823118.0,5256545.0,3942850.0,4106404.0
Property Plant Equipment,7098453.0,1955564.0,2214341.0,778268.0
Total Current Assets,45654781.0,26812309.0,22811761.0,18355838.0
Net Tangible Assets,34860107.0,27854979.0,25842248.0,15530010.0
Net Receivables,10046081.0,7565465.0,5088028.0,6874626.0
Accounts Payable,1690042.0,168648.0,1023236.0,592441.0
