,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,367221000.0,341209000.0,396101000.0,475699000.0
Total Stockholder Equity,1925809000.0,1849060000.0,1778827000.0,1732784000.0
Total Assets,2293030000.0,2190269000.0,2174928000.0,2208483000.0
Common Stock,1897126000.0,1895855000.0,1879094000.0,1878469000.0
Other Current Assets,64000.0,484000.0,1990000.0,32402000.0
Retained Earnings,9809000.0,-62572000.0,-115038000.0,-159130000.0
Other Liab,210428000.0,201538000.0,193806000.0,213382000.0
Treasury Stock,18874000.0,15777000.0,14771000.0,13445000.0
Other Assets,187933000.0,247829000.0,269778000.0,271520000.0
Cash,510312000.0,348208000.0,138688000.0,35763000.0
Total Current Liabilities,123243000.0,111308000.0,117706000.0,121502000.0
Deferred Long Term Asset Charges,119734000.0,180237000.0,207271000.0,251429000.0
Short Long Term Debt,56937000.0,56226000.0,56226000.0,56226000.0
Other Stockholder Equity,18874000.0,15777000.0,14771000.0,13445000.0
Property Plant Equipment,1342227000.0,1448195000.0,1563598000.0,1730909000.0
Total Current Assets,762870000.0,494245000.0,341552000.0,206054000.0
Net Tangible Assets,1925809000.0,1849060000.0,1778827000.0,1732784000.0
Net Receivables,65906000.0,45587000.0,92159000.0,56558000.0
Inventory,75670000.0,70274000.0,82487000.0,63158000.0
Accounts Payable,53013000.0,49902000.0,14447000.0,6401000.0
Long Term Debt,,28363000.0,84589000.0,140815000.0
Other Current Liab,,,42711000.0,51228000.0
