,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,128658000.0,91072000.0,97046000.0,104483000.0
Total Liab,417410000.0,402065000.0,277035000.0,264008000.0
Total Stockholder Equity,587862000.0,434906000.0,419431000.0,407547000.0
Other Current Liab,20870000.0,22798000.0,11574000.0,14100000.0
Total Assets,1005272000.0,836971000.0,696466000.0,671555000.0
Common Stock,558416000.0,383083000.0,378577000.0,376309000.0
Other Current Assets,5068000.0,4800000.0,3858000.0,2187000.0
Retained Earnings,-481000.0,6700000.0,12852000.0,13451000.0
Other Liab,55612000.0,40349000.0,14519000.0,19940000.0
Good Will,605440000.0,528676000.0,458144000.0,442802000.0
Treasury Stock,29927000.0,45123000.0,28002000.0,17787000.0
Other Assets,29289000.0,22479000.0,18583000.0,18337000.0
Cash,63141000.0,33386000.0,30190000.0,28615000.0
Total Current Liabilities,102240000.0,85626000.0,58127000.0,51203000.0
Deferred Long Term Asset Charges,29289000.0,22479000.0,17800000.0,18337000.0
Other Stockholder Equity,29927000.0,45123000.0,28002000.0,17787000.0
Property Plant Equipment,108047000.0,79448000.0,30851000.0,19773000.0
Total Current Assets,133838000.0,115296000.0,91842000.0,84760000.0
Net Tangible Assets,-146236000.0,-184842000.0,-135759000.0,-139738000.0
Short Term Investments,901000.0,1043000.0,685000.0,692000.0
Net Receivables,48690000.0,53180000.0,47993000.0,44892000.0
Long Term Debt,188433000.0,227734000.0,204389000.0,192865000.0
Accounts Payable,9120000.0,4958000.0,3407000.0,6736000.0
Long Term Investments,,,,1400000.0
