,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,2686300000.0,3088600000.0,3123300000.0,3204800000.0
Capital Surplus,3815000000.0,3828500000.0,3824500000.0,3842900000.0
Total Liab,1871200000.0,2037600000.0,1915000000.0,2206900000.0
Total Stockholder Equity,4716400000.0,4886500000.0,4839300000.0,4837300000.0
Minority Interest,103200000.0,697600000.0,157600000.0,228500000.0
Other Current Liab,195100000.0,219400000.0,218300000.0,410900000.0
Total Assets,6690800000.0,7621700000.0,6911900000.0,7272700000.0
Common Stock,270600000.0,280500000.0,294600000.0,300600000.0
Other Current Assets,77400000.0,102600000.0,47500000.0,61200000.0
Retained Earnings,1062100000.0,1284100000.0,1314500000.0,1151400000.0
Other Liab,710600000.0,822200000.0,867500000.0,879800000.0
Good Will,1383900000.0,1504300000.0,1478000000.0,1533900000.0
Treasury Stock,-431300000.0,-506600000.0,-594300000.0,-457600000.0
Other Assets,212800000.0,221900000.0,214200000.0,214900000.0
Cash,1108100000.0,796500000.0,916600000.0,794200000.0
Total Current Liabilities,727800000.0,769700000.0,728400000.0,1005100000.0
Deferred Long Term Asset Charges,700000.0,1800000.0,,
Other Stockholder Equity,-324000000.0,-367100000.0,-423500000.0,-301800000.0
Property Plant Equipment,199700000.0,217300000.0,69500000.0,70600000.0
Total Current Assets,2193700000.0,2580800000.0,2019100000.0,2242600000.0
Long Term Investments,14400000.0,8800000.0,7800000.0,5900000.0
Net Tangible Assets,646200000.0,293600000.0,238000000.0,98600000.0
Short Term Investments,482700000.0,1178300000.0,574500000.0,700100000.0
Net Receivables,490400000.0,476000000.0,457900000.0,663000000.0
Long Term Debt,313300000.0,316200000.0,319100000.0,322000000.0
Accounts Payable,3200000.0,57100000.0,6500000.0,21500000.0
Short Long Term Debt,,,,57200000.0
