,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,173900000.0,166700000.0,174400000.0,12300000.0
Capital Surplus,224600000.0,207300000.0,197600000.0,185600000.0
Total Liab,3028200000.0,2993000000.0,3058200000.0,2572500000.0
Total Stockholder Equity,1060800000.0,1035300000.0,974400000.0,-221500000.0
Other Current Liab,519700000.0,246700000.0,244900000.0,206400000.0
Total Assets,4089000000.0,4028300000.0,4032600000.0,2351000000.0
Common Stock,231400000.0,230600000.0,230000000.0,229500000.0
Other Current Assets,138100000.0,70300000.0,64600000.0,72100000.0
Retained Earnings,611400000.0,659500000.0,577100000.0,-635300000.0
Other Liab,1213300000.0,1085500000.0,1194900000.0,1293500000.0
Good Will,209300000.0,196900000.0,201100000.0,4900000.0
Treasury Stock,-6600000.0,-62100000.0,-30300000.0,-1300000.0
Other Assets,1340800000.0,1372400000.0,1514600000.0,499100000.0
Cash,208500000.0,144400000.0,78700000.0,281600000.0
Total Current Liabilities,901100000.0,510000000.0,483000000.0,394600000.0
Deferred Long Term Asset Charges,1274200000.0,1308500000.0,1442200000.0,412800000.0
Other Stockholder Equity,-6600000.0,-62100000.0,-30300000.0,-1300000.0
Property Plant Equipment,1421400000.0,1383900000.0,1388400000.0,992100000.0
Total Current Assets,943600000.0,908400000.0,754100000.0,842600000.0
Net Tangible Assets,677600000.0,671700000.0,598900000.0,-238700000.0
Net Receivables,339800000.0,368300000.0,262100000.0,207800000.0
Long Term Debt,858600000.0,1354600000.0,1380300000.0,884400000.0
Inventory,218300000.0,305100000.0,317400000.0,255700000.0
Accounts Payable,174000000.0,151300000.0,142400000.0,111800000.0
