,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,540000.0,,,17000.0
Total Liab,417744000.0,343408000.0,330153000.0,605580000.0
Total Stockholder Equity,518381000.0,535397000.0,434478000.0,112155000.0
Other Current Liab,31979000.0,,409000.0,309000.0
Total Assets,936125000.0,878805000.0,764631000.0,717735000.0
Common Stock,1424847000.0,1398264000.0,1395417000.0,1094403000.0
Retained Earnings,-872677000.0,-853282000.0,-936361000.0,-989480000.0
Other Liab,156061000.0,113852000.0,67026000.0,61392000.0
Treasury Stock,-33789000.0,-9585000.0,-24578000.0,7232000.0
Other Assets,74615000.0,56521000.0,42816000.0,27131000.0
Cash,101731000.0,89710000.0,42292000.0,63925000.0
Total Current Liabilities,95098000.0,68932000.0,38015000.0,70345000.0
Short Long Term Debt,34148000.0,29308000.0,,19516000.0
Other Stockholder Equity,-33789000.0,-9585000.0,-24578000.0,7232000.0
Property Plant Equipment,681908000.0,659393000.0,613142000.0,580399000.0
Total Current Assets,179062000.0,162891000.0,108673000.0,110188000.0
Net Tangible Assets,517841000.0,535397000.0,434478000.0,112138000.0
Net Receivables,5426000.0,12891000.0,12365000.0,5969000.0
Long Term Debt,164851000.0,160624000.0,225112000.0,473843000.0
Inventory,68132000.0,58332000.0,51658000.0,37448000.0
Accounts Payable,13180000.0,37029000.0,35012000.0,45639000.0
