,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,24700000.0,26600000.0,27779000.0,29749000.0
Total Liab,2335300000.0,1781100000.0,780769000.0,702420000.0
Total Stockholder Equity,2264800000.0,1361200000.0,1286756000.0,1113730000.0
Minority Interest,30800000.0,19000000.0,17810000.0,18362000.0
Deferred Long Term Liab,21800000.0,56700000.0,40105000.0,29209000.0
Other Current Liab,464500000.0,85300000.0,7115000.0,25604000.0
Total Assets,4630900000.0,3161300000.0,2085335000.0,1834512000.0
Common Stock,526600000.0,519600000.0,514414000.0,507920000.0
Retained Earnings,1738400000.0,837200000.0,774126000.0,610130000.0
Other Liab,220800000.0,274600000.0,230618000.0,205588000.0
Good Will,1400000.0,1400000.0,1418000.0,16681000.0
Treasury Stock,-200000.0,4400000.0,-1784000.0,-4320000.0
Other Assets,826500000.0,142300000.0,78439000.0,96239000.0
Cash,1521800000.0,265400000.0,240406000.0,378169000.0
Total Current Liabilities,924300000.0,424800000.0,374714000.0,430614000.0
Deferred Long Term Asset Charges,119800000.0,45500000.0,38084000.0,51680000.0
Other Stockholder Equity,10100000.0,16100000.0,1442000.0,1152000.0
Property Plant Equipment,1842300000.0,1709100000.0,1337015000.0,1042919000.0
Total Current Assets,1893700000.0,1206800000.0,522571000.0,594034000.0
Long Term Investments,42300000.0,75100000.0,118113000.0,54890000.0
Net Tangible Assets,2238700000.0,1333200000.0,1257559000.0,1067300000.0
Net Receivables,177500000.0,221900000.0,135445000.0,93313000.0
Long Term Debt,1006700000.0,982600000.0,100000000.0,
Inventory,155600000.0,180200000.0,132189000.0,116443000.0
Accounts Payable,305900000.0,248700000.0,261571000.0,164150000.0
Other Current Assets,,509900000.0,3096000.0,138000.0
