,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,1222000000.0,1551000000.0,999000000.0,524000000.0
Total Liab,223302000000.0,234018000000.0,179393000000.0,173145000000.0
Total Stockholder Equity,22048000000.0,21063000000.0,17761000000.0,16357000000.0
Minority Interest,303000000.0,721000000.0,603000000.0,1823000000.0
Other Current Liab,29422000000.0,29603000000.0,31026000000.0,29724000000.0
Total Assets,245653000000.0,255802000000.0,197757000000.0,191325000000.0
Common Stock,10173000000.0,9297000000.0,7553000000.0,7507000000.0
Other Current Assets,51357000000.0,55737000000.0,52588000000.0,48561000000.0
Retained Earnings,12231000000.0,10439000000.0,9807000000.0,8817000000.0
Other Liab,2554000000.0,2436000000.0,3097000000.0,3053000000.0
Good Will,1321000000.0,1717000000.0,1032000000.0,469000000.0
Treasury Stock,-356000000.0,1327000000.0,401000000.0,33000000.0
Other Assets,107220000000.0,96588000000.0,79646000000.0,75168000000.0
Cash,15882000000.0,7454000000.0,6888000000.0,13005000000.0
Total Current Liabilities,139744000000.0,141481000000.0,108534000000.0,99766000000.0
Deferred Long Term Asset Charges,1472000000.0,1340000000.0,1031000000.0,650000000.0
Other Stockholder Equity,1277000000.0,2773000000.0,1773000000.0,1297000000.0
Property Plant Equipment,4676000000.0,5044000000.0,4701000000.0,11426000000.0
Total Current Assets,117884000000.0,134269000000.0,100791000000.0,93720000000.0
Long Term Investments,13330000000.0,16633000000.0,10588000000.0,10018000000.0
Net Tangible Assets,19505000000.0,17795000000.0,15730000000.0,15364000000.0
Net Receivables,8257000000.0,8616000000.0,9479000000.0,4488000000.0
Long Term Debt,80220000000.0,89063000000.0,67670000000.0,70326000000.0
Accounts Payable,84199000000.0,67342000000.0,56191000000.0,48395000000.0
