,2020-04-30,2019-04-30,2018-04-30,2017-04-30
Intangible Assets,140100000.0,144300000.0,153500000.0,195800000.0
Total Liab,3324000000.0,2416500000.0,2321000000.0,2294400000.0
Total Stockholder Equity,1356700000.0,1240500000.0,1325500000.0,1628600000.0
Minority Interest,14900000.0,9600000.0,8700000.0,8800000.0
Other Current Liab,20400000.0,42300000.0,41900000.0,323400000.0
Total Assets,4695600000.0,3666600000.0,3655200000.0,3931800000.0
Common Stock,853500000.0,559200000.0,600000000.0,2485200000.0
Other Current Assets,11400000.0,11400000.0,11300000.0,19100000.0
Retained Earnings,505500000.0,682100000.0,726200000.0,-87700000.0
Other Liab,60200000.0,119100000.0,139100000.0,147400000.0
Good Will,441700000.0,649200000.0,638800000.0,956900000.0
Treasury Stock,-2300000.0,-800000.0,-700000.0,-768900000.0
Other Assets,382800000.0,132700000.0,143700000.0,132900000.0
Cash,275100000.0,142600000.0,161200000.0,96500000.0
Total Current Liabilities,2362700000.0,2113800000.0,2054800000.0,1959900000.0
Deferred Long Term Asset Charges,120000000.0,116600000.0,123600000.0,103800000.0
Other Stockholder Equity,-2300000.0,-800000.0,-700000.0,-768900000.0
Property Plant Equipment,699400000.0,225800000.0,215500000.0,242100000.0
Total Current Assets,2954000000.0,2426900000.0,2405300000.0,2300800000.0
Long Term Investments,77600000.0,87700000.0,98400000.0,103300000.0
Net Tangible Assets,774900000.0,447000000.0,533200000.0,475900000.0
Short Term Investments,1500000.0,400000.0,600000.0,
Net Receivables,1633800000.0,1493200000.0,1478100000.0,1426000000.0
Long Term Debt,188400000.0,178100000.0,123600000.0,183600000.0
Inventory,1032200000.0,779300000.0,754100000.0,759200000.0
Accounts Payable,2064100000.0,1967700000.0,1903600000.0,1524300000.0
