,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Intangible Assets,1971000000.0,2712000000.0,2924000000.0,2739000000.0
Total Liab,805272000000.0,791520000000.0,753798000000.0,737008000000.0
Total Stockholder Equity,61292000000.0,55596000000.0,51726000000.0,50331000000.0
Minority Interest,1000000.0,8000000.0,11000000.0,11000000.0
Other Current Liab,3505000000.0,2672000000.0,2130000000.0,2033000000.0
Total Assets,866565000000.0,847124000000.0,806510000000.0,788325000000.0
Common Stock,43531000000.0,36762000000.0,33062000000.0,31707000000.0
Other Current Assets,10734000000.0,10372000000.0,11382000000.0,11853000000.0
Retained Earnings,15717000000.0,16583000000.0,16673000000.0,16442000000.0
Other Liab,10491000000.0,11315000000.0,8307000000.0,7907000000.0
Good Will,1838000000.0,2864000000.0,2863000000.0,2862000000.0
Treasury Stock,2044000000.0,2251000000.0,1991000000.0,2182000000.0
Other Assets,586940000000.0,591867000000.0,571288000000.0,545127000000.0
Cash,34652000000.0,25961000000.0,26491000000.0,34763000000.0
Total Current Liabilities,649194000000.0,633742000000.0,600967000000.0,591153000000.0
Deferred Long Term Asset Charges,3647000000.0,2670000000.0,2083000000.0,1988000000.0
Short Long Term Debt,61085000000.0,63548000000.0,63628000000.0,52662000000.0
Other Stockholder Equity,2044000000.0,2251000000.0,1991000000.0,2182000000.0
Property Plant Equipment,2374000000.0,1117000000.0,1199000000.0,1315000000.0
Total Current Assets,232229000000.0,207046000000.0,184776000000.0,191285000000.0
Long Term Investments,41213000000.0,41518000000.0,43460000000.0,44997000000.0
Net Tangible Assets,57483000000.0,50020000000.0,45939000000.0,44730000000.0
Short Term Investments,61542000000.0,53201000000.0,48069000000.0,40766000000.0
Net Receivables,21497000000.0,9011000000.0,6699000000.0,5128000000.0
Long Term Debt,144394000000.0,146463000000.0,144524000000.0,137948000000.0
Accounts Payable,503788000000.0,465483000000.0,452932000000.0,459836000000.0
