,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,24000000.0,33000000.0,42000000.0,35000000.0
Total Liab,4629000000.0,4206000000.0,4018000000.0,4049000000.0
Total Stockholder Equity,8613000000.0,7567000000.0,7395000000.0,7450000000.0
Other Current Liab,160000000.0,263000000.0,128000000.0,101000000.0
Total Assets,13242000000.0,11837000000.0,11480000000.0,11583000000.0
Common Stock,12403000000.0,11641000000.0,11656000000.0,11657000000.0
Retained Earnings,-3170000000.0,-3648000000.0,-4067000000.0,-4154000000.0
Other Liab,1766000000.0,1399000000.0,1374000000.0,1394000000.0
Good Will,17000000.0,,,
Treasury Stock,-620000000.0,-426000000.0,-194000000.0,-53000000.0
Other Assets,1162000000.0,1183000000.0,1286000000.0,1383000000.0
Cash,1451000000.0,1600000000.0,953000000.0,492000000.0
Total Current Liabilities,818000000.0,812000000.0,651000000.0,664000000.0
Deferred Long Term Asset Charges,65000000.0,60000000.0,69000000.0,80000000.0
Other Stockholder Equity,-620000000.0,-426000000.0,-194000000.0,-53000000.0
Property Plant Equipment,8809000000.0,7816000000.0,8156000000.0,8852000000.0
Total Current Assets,2372000000.0,2382000000.0,1672000000.0,1249000000.0
Long Term Investments,858000000.0,423000000.0,324000000.0,64000000.0
Net Tangible Assets,8572000000.0,7534000000.0,7353000000.0,7415000000.0
Net Receivables,255000000.0,167000000.0,78000000.0,114000000.0
Long Term Debt,2013000000.0,1995000000.0,1993000000.0,1991000000.0
Inventory,549000000.0,576000000.0,554000000.0,556000000.0
Accounts Payable,520000000.0,444000000.0,415000000.0,455000000.0
Minority Interest,,64000000.0,67000000.0,84000000.0
Other Current Assets,,4000000.0,33000000.0,31000000.0
Short Term Investments,,4000000.0,,
