,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,1543649000.0,1551559000.0,565329000.0,559448000.0
Total Liab,1763662000.0,1635735000.0,744586000.0,915671000.0
Total Stockholder Equity,1750004000.0,2580679000.0,1109039000.0,985890000.0
Minority Interest,135864000.0,192644000.0,,
Other Current Liab,262130000.0,359671000.0,218312000.0,194534000.0
Total Assets,3649530000.0,4409058000.0,1853625000.0,1901561000.0
Common Stock,2134803000.0,2134803000.0,751998000.0,751998000.0
Other Current Assets,228694000.0,356511000.0,196935000.0,226814000.0
Retained Earnings,-311611000.0,448811000.0,358603000.0,236013000.0
Other Liab,366015000.0,453797000.0,247305000.0,305629000.0
Good Will,900166000.0,1516748000.0,416520000.0,415922000.0
Treasury Stock,-73188000.0,-2935000.0,-1562000.0,-2121000.0
Other Assets,40765000.0,63618000.0,196629000.0,171541000.0
Cash,187394000.0,256121000.0,36375000.0,66700000.0
Total Current Liabilities,648455000.0,865361000.0,339635000.0,318867000.0
Short Long Term Debt,79626000.0,195375000.0,,
Other Stockholder Equity,-73188000.0,-2935000.0,-1562000.0,-2121000.0
Property Plant Equipment,415172000.0,165322000.0,106516000.0,129289000.0
Total Current Assets,718552000.0,1079717000.0,551684000.0,607391000.0
Long Term Investments,31226000.0,32094000.0,16947000.0,17970000.0
Net Tangible Assets,-693811000.0,-487628000.0,127190000.0,10520000.0
Net Receivables,258061000.0,413716000.0,285469000.0,273986000.0
Long Term Debt,504690000.0,316577000.0,157646000.0,291175000.0
Inventory,15664000.0,17042000.0,13248000.0,18648000.0
Accounts Payable,183710000.0,228524000.0,121323000.0,124333000.0
