,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,230300000.0,235900000.0,218500000.0,185200000.0
Total Liab,1076100000.0,921900000.0,889700000.0,708500000.0
Total Stockholder Equity,606400000.0,632200000.0,557800000.0,428600000.0
Other Current Liab,358000000.0,341700000.0,313200000.0,278500000.0
Total Assets,1682500000.0,1554100000.0,1447500000.0,1136100000.0
Common Stock,127400000.0,120300000.0,116100000.0,28100000.0
Other Current Assets,6200000.0,5700000.0,6200000.0,2100000.0
Retained Earnings,473800000.0,498400000.0,445500000.0,399000000.0
Other Liab,65800000.0,109100000.0,92500000.0,80200000.0
Good Will,226500000.0,227400000.0,209100000.0,135000000.0
Treasury Stock,5200000.0,13500000.0,-3800000.0,1500000.0
Other Assets,12400000.0,1800000.0,1700000.0,1600000.0
Cash,198000000.0,164700000.0,192200000.0,119000000.0
Total Current Liabilities,703100000.0,580300000.0,567700000.0,476600000.0
Deferred Long Term Asset Charges,12400000.0,,,
Other Stockholder Equity,11200000.0,18600000.0,,4600000.0
Property Plant Equipment,73500000.0,13200000.0,10400000.0,11800000.0
Total Current Assets,1121800000.0,1062600000.0,1002700000.0,800200000.0
Long Term Investments,18000000.0,13200000.0,5100000.0,2300000.0
Net Tangible Assets,267000000.0,284100000.0,240900000.0,210000000.0
Short Term Investments,8800000.0,73900000.0,,
Net Receivables,70800000.0,67500000.0,65400000.0,49700000.0
Long Term Debt,230900000.0,232500000.0,229500000.0,151700000.0
Accounts Payable,271200000.0,170900000.0,182100000.0,145200000.0
Minority Interest,,,,-1000000.0
