,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,2675000.0,2546000.0,2051000.0,1582000.0
Total Liab,918510000.0,1088039000.0,819670000.0,704708000.0
Total Stockholder Equity,143209000.0,116127000.0,76721000.0,67990000.0
Minority Interest,1578615000.0,1188147000.0,813558000.0,664627000.0
Other Current Liab,49152000.0,55285000.0,45524000.0,36842000.0
Total Assets,2640334000.0,2392313000.0,1709949000.0,1437325000.0
Common Stock,133169000.0,83692000.0,66128000.0,59145000.0
Other Current Assets,10469000.0,8121000.0,11050000.0,10022000.0
Retained Earnings,10030000.0,16011000.0,10605000.0,8834000.0
Other Liab,5352000.0,3061000.0,2119000.0,4699000.0
Good Will,43954000.0,43954000.0,43954000.0,43954000.0
Treasury Stock,10000.0,16424000.0,-12000.0,11000.0
Other Assets,7559000.0,3098000.0,1620000.0,635000.0
Cash,90352000.0,178842000.0,21333000.0,23166000.0
Total Current Liabilities,70517000.0,75849000.0,59819000.0,51129000.0
Deferred Long Term Asset Charges,7041000.0,2980000.0,1019000.0,525000.0
Short Long Term Debt,50000.0,239000.0,3000.0,166000.0
Other Stockholder Equity,10000.0,16424000.0,-12000.0,11000.0
Property Plant Equipment,2459716000.0,2118032000.0,1593822000.0,1332107000.0
Total Current Assets,117960000.0,207383000.0,48278000.0,45128000.0
Long Term Investments,8470000.0,17300000.0,20224000.0,13919000.0
Net Tangible Assets,96580000.0,69627000.0,30716000.0,22454000.0
Net Receivables,16306000.0,19738000.0,15152000.0,11340000.0
Long Term Debt,678059000.0,845302000.0,600790000.0,485029000.0
Inventory,833000.0,682000.0,656000.0,600000.0
Accounts Payable,939000.0,3486000.0,4184000.0,530000.0
