,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,9436000.0,12867000.0,16298000.0,
Total Liab,1667627000.0,528900000.0,395434000.0,309858000.0
Total Stockholder Equity,2143758000.0,1114935000.0,821436000.0,615100000.0
Other Current Liab,30389000.0,24780000.0,49638000.0,52523000.0
Total Assets,3811385000.0,1643835000.0,1216870000.0,924958000.0
Common Stock,1323900000.0,473708000.0,291290000.0,217811000.0
Retained Earnings,806465000.0,599128000.0,514758000.0,383978000.0
Other Liab,579621000.0,285914000.0,185820000.0,129223000.0
Treasury Stock,13393000.0,42099000.0,15388000.0,13311000.0
Other Assets,337338000.0,2771000.0,7400000.0,8429000.0
Cash,677260000.0,266179000.0,442997000.0,403060000.0
Total Current Liabilities,638227000.0,218481000.0,200101000.0,174958000.0
Short Long Term Debt,302481000.0,,,
Other Stockholder Equity,13393000.0,42099000.0,15388000.0,13311000.0
Property Plant Equipment,2331817000.0,1123483000.0,577567000.0,399966000.0
Total Current Assets,1111425000.0,453826000.0,558074000.0,486165000.0
Long Term Investments,21369000.0,50888000.0,57531000.0,30398000.0
Net Tangible Assets,2134322000.0,1102068000.0,805138000.0,615100000.0
Net Receivables,95321000.0,65577000.0,29365000.0,23594000.0
Long Term Debt,394779000.0,,,
Inventory,289654000.0,113631000.0,83941000.0,58851000.0
Accounts Payable,46981000.0,59941000.0,54391000.0,50417000.0
