,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,29284000.0,23678000.0,12907000.0,8538000.0
Total Liab,976096000.0,950585000.0,341947000.0,345850000.0
Total Stockholder Equity,1683461000.0,875303000.0,893977000.0,506534000.0
Deferred Long Term Liab,3344000.0,4898000.0,6635000.0,1152000.0
Other Current Liab,36092000.0,14778000.0,7615000.0,27078000.0
Total Assets,2659557000.0,1825888000.0,1235924000.0,852384000.0
Common Stock,1757262000.0,905117000.0,904247000.0,524458000.0
Other Current Assets,13798000.0,11801000.0,5327000.0,6940000.0
Retained Earnings,-81413000.0,-36226000.0,-16275000.0,-22914000.0
Other Liab,29050000.0,20942000.0,1624000.0,533000.0
Treasury Stock,7612000.0,6412000.0,6005000.0,4990000.0
Other Assets,3344000.0,26450000.0,16322000.0,13753000.0
Cash,892939000.0,398999000.0,417982000.0,271838000.0
Total Current Liabilities,378843000.0,67415000.0,37676000.0,43302000.0
Short Long Term Debt,301811000.0,,,
Other Stockholder Equity,7612000.0,6412000.0,6005000.0,4990000.0
Property Plant Equipment,1670815000.0,1328473000.0,679950000.0,434267000.0
Total Current Assets,956114000.0,447287000.0,464222000.0,395826000.0
Net Tangible Assets,1654177000.0,851625000.0,881070000.0,497996000.0
Net Receivables,45065000.0,33856000.0,37086000.0,16215000.0
Long Term Debt,496426000.0,793849000.0,296912000.0,295973000.0
Accounts Payable,32665000.0,44840000.0,27640000.0,14116000.0
Deferred Long Term Asset Charges,,21552000.0,9687000.0,12601000.0
Long Term Investments,,,62523000.0,
Short Term Investments,,,,96500000.0
