,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Capital Surplus,56400000.0,48600000.0,50200000.0,45300000.0
Total Liab,688400000.0,508100000.0,458300000.0,554900000.0
Total Stockholder Equity,1564900000.0,1563600000.0,1566700000.0,1490900000.0
Other Current Liab,94300000.0,43700000.0,45700000.0,28900000.0
Total Assets,2253300000.0,2071700000.0,2025000000.0,2045800000.0
Common Stock,1229500000.0,1107000000.0,1099000000.0,1093800000.0
Retained Earnings,240600000.0,391000000.0,382800000.0,280300000.0
Other Liab,132700000.0,102300000.0,109000000.0,153100000.0
Treasury Stock,38400000.0,17000000.0,34700000.0,71500000.0
Other Assets,326300000.0,299700000.0,311400000.0,325600000.0
Cash,179000000.0,49000000.0,107700000.0,73200000.0
Total Current Liabilities,266300000.0,202400000.0,182700000.0,225300000.0
Deferred Long Term Asset Charges,19100000.0,25600000.0,27000000.0,57800000.0
Short Long Term Debt,900000.0,-300000.0,,50000000.0
Other Stockholder Equity,38400000.0,17000000.0,34700000.0,71500000.0
Property Plant Equipment,1614400000.0,1516000000.0,1403100000.0,1419200000.0
Total Current Assets,307100000.0,215900000.0,252300000.0,225500000.0
Long Term Investments,5500000.0,40100000.0,58200000.0,75500000.0
Net Tangible Assets,1564900000.0,1563600000.0,1566700000.0,1490900000.0
Net Receivables,7500000.0,6900000.0,21000000.0,42300000.0
Long Term Debt,205800000.0,149800000.0,150000000.0,150000000.0
Inventory,108200000.0,145400000.0,109300000.0,99000000.0
Accounts Payable,132500000.0,120500000.0,115700000.0,122900000.0
Other Current Assets,,,600000.0,
