,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,54800000.0,81800000.0,76700000.0,56300000.0
Total Liab,1468000000.0,2273700000.0,1986600000.0,1816400000.0
Total Stockholder Equity,1032000000.0,1644500000.0,1630500000.0,1546800000.0
Deferred Long Term Liab,22000000.0,31400000.0,48100000.0,50600000.0
Other Current Liab,298200000.0,356800000.0,370700000.0,301500000.0
Total Assets,2500000000.0,3918200000.0,3617100000.0,3363200000.0
Common Stock,335200000.0,488000000.0,499700000.0,508700000.0
Other Current Assets,10100000.0,17500000.0,25900000.0,16100000.0
Retained Earnings,559200000.0,995700000.0,998500000.0,930500000.0
Other Liab,22900000.0,153800000.0,134500000.0,119600000.0
Good Will,381000000.0,532900000.0,418000000.0,390200000.0
Treasury Stock,137600000.0,160800000.0,132300000.0,107600000.0
Other Assets,119600000.0,91800000.0,110600000.0,98000000.0
Cash,107300000.0,70300000.0,87600000.0,58500000.0
Total Current Liabilities,817100000.0,1160600000.0,1098700000.0,985400000.0
Deferred Long Term Asset Charges,13700000.0,,,
Other Stockholder Equity,139200000.0,164700000.0,152100000.0,144000000.0
Property Plant Equipment,889000000.0,1765500000.0,1693700000.0,1648600000.0
Total Current Assets,1055600000.0,1446200000.0,1318100000.0,1170100000.0
Net Tangible Assets,596200000.0,1029800000.0,1135800000.0,1100300000.0
Net Receivables,498200000.0,674400000.0,606100000.0,571600000.0
Long Term Debt,399200000.0,959000000.0,753400000.0,710000000.0
Inventory,412900000.0,642000000.0,559100000.0,492600000.0
Accounts Payable,436300000.0,714200000.0,636600000.0,573300000.0
Short Long Term Debt,,,,15000000.0
