,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,897000.0,920000.0,,
Total Liab,455087000.0,378342000.0,20714000.0,22123000.0
Total Stockholder Equity,602359000.0,631819000.0,502104000.0,218020000.0
Minority Interest,88215000.0,102877000.0,,
Total Assets,1145661000.0,1113038000.0,522818000.0,240143000.0
Common Stock,548462000.0,527716000.0,527364000.0,243184000.0
Other Current Assets,5668000.0,12281000.0,146000.0,
Retained Earnings,70505000.0,136279000.0,81663000.0,79743000.0
Other Liab,157746000.0,158376000.0,11890000.0,11454000.0
Treasury Stock,-16608000.0,-32176000.0,-106923000.0,-104907000.0
Other Assets,60433000.0,47731000.0,34940000.0,58898000.0
Cash,171836000.0,279798000.0,316690000.0,51632000.0
Total Current Liabilities,105616000.0,110921000.0,8824000.0,10596000.0
Short Long Term Debt,37291000.0,38492000.0,728000.0,872000.0
Other Stockholder Equity,-16608000.0,-32176000.0,-106923000.0,-104907000.0
Property Plant Equipment,834264000.0,655563000.0,7501000.0,10513000.0
Total Current Assets,226896000.0,362874000.0,375645000.0,91570000.0
Long Term Investments,23171000.0,45950000.0,104732000.0,79162000.0
Net Tangible Assets,601462000.0,630899000.0,502104000.0,218020000.0
Net Receivables,16403000.0,22510000.0,52303000.0,23710000.0
Long Term Debt,163074000.0,109045000.0,,73000.0
Inventory,30336000.0,45620000.0,6506000.0,6436000.0
Accounts Payable,29228000.0,26014000.0,7457000.0,9307000.0
Other Current Liab,,28000.0,,
Short Term Investments,,,,9792000.0
