,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,56782098.0,14783989.0,2191508.0,
Total Liab,39046563.0,20034172.0,6647109.0,
Total Stockholder Equity,177125296.0,74506721.0,4393477.0,
Other Current Liab,11592753.0,10125024.0,4301733.0,
Total Assets,216171859.0,94540893.0,11040586.0,
Common Stock,261758201.0,124641045.0,14329174.0,
Retained Earnings,-93482644.0,-52019255.0,-10134105.0,
Other Liab,4428247.0,88137.0,,
Treasury Stock,8849739.0,1884931.0,198408.0,
Cash,144338937.0,75885880.0,7540201.0,
Total Current Liabilities,26449665.0,19946035.0,6647109.0,
Other Stockholder Equity,8849739.0,1884931.0,198408.0,
Property Plant Equipment,11573532.0,1836065.0,236987.0,
Total Current Assets,146088216.0,77148481.0,8312782.0,
Long Term Investments,1728013.0,772358.0,299309.0,
Net Tangible Assets,120343198.0,59722732.0,2201969.0,
Net Receivables,272151.0,495360.0,125585.0,
Accounts Payable,7476563.0,4858109.0,1045093.0,
Other Current Assets,,767241.0,,
Other Assets,,559354.0,,
