,2020-09-30,2019-09-30,2018-09-30,2017-09-30
Intangible Assets,56010000.0,62041000.0,68084000.0,71937000.0
Total Liab,210596000.0,185864000.0,198630000.0,186895000.0
Total Stockholder Equity,895758000.0,910704000.0,893558000.0,795732000.0
Other Current Liab,20235000.0,16012000.0,19669000.0,18779000.0
Total Assets,1106354000.0,1096568000.0,1092188000.0,982627000.0
Common Stock,617668000.0,617668000.0,617668000.0,610613000.0
Other Current Assets,78000.0,,314000.0,
Retained Earnings,219169000.0,232954000.0,229040000.0,147778000.0
Other Liab,12122000.0,30109000.0,27615000.0,23282000.0
Good Will,476093000.0,478305000.0,476929000.0,463341000.0
Treasury Stock,58921000.0,60082000.0,46850000.0,37341000.0
Other Assets,37127000.0,59636000.0,60312000.0,48967000.0
Cash,207485000.0,150071000.0,168134000.0,194199000.0
Total Current Liabilities,165270000.0,153026000.0,166646000.0,162607000.0
Deferred Long Term Asset Charges,28931000.0,43488000.0,42465000.0,45671000.0
Other Stockholder Equity,205340000.0,258319000.0,237381000.0,221377000.0
Property Plant Equipment,45592000.0,9050000.0,5392000.0,3566000.0
Total Current Assets,288557000.0,225609000.0,243631000.0,264975000.0
Long Term Investments,202975000.0,261927000.0,237840000.0,129841000.0
Net Tangible Assets,363655000.0,370358000.0,348545000.0,260454000.0
Net Receivables,73892000.0,68563000.0,69902000.0,65963000.0
Accounts Payable,41660000.0,42605000.0,44889000.0,37880000.0
