,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Total Liab,215490000.0,205621000.0,188739000.0,136306000.0
Total Stockholder Equity,386974000.0,376650000.0,343243000.0,200172000.0
Other Current Liab,127000.0,1031000.0,3583000.0,4000.0
Total Assets,602464000.0,582271000.0,531982000.0,336478000.0
Common Stock,587329000.0,479720000.0,419610000.0,261756000.0
Other Current Assets,135000.0,673000.0,12981000.0,134995000.0
Retained Earnings,-204205000.0,-112286000.0,-95291000.0,-94085000.0
Other Liab,16971000.0,16523000.0,6997000.0,207000.0
Treasury Stock,3850000.0,9216000.0,18924000.0,32501000.0
Cash,86250000.0,63576000.0,119978000.0,87248000.0
Total Current Liabilities,75403000.0,59011000.0,50777000.0,11735000.0
Short Long Term Debt,36427000.0,8912000.0,,
Other Stockholder Equity,3850000.0,9216000.0,18924000.0,32501000.0
Property Plant Equipment,488819000.0,440349000.0,379346000.0,110704000.0
Total Current Assets,113645000.0,125860000.0,152636000.0,225768000.0
Net Tangible Assets,386974000.0,376650000.0,343243000.0,200172000.0
Net Receivables,2901000.0,8255000.0,10400000.0,3482000.0
Long Term Debt,97792000.0,130087000.0,130502000.0,124331000.0
Inventory,23268000.0,51197000.0,7543000.0,43000.0
Accounts Payable,11851000.0,23122000.0,8334000.0,3855000.0
Other Assets,,16062000.0,,
Long Term Investments,,,,6000.0
