,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,18839000.0,18168000.0,16854000.0,15478000.0
Total Liab,35462000.0,34990000.0,25974000.0,12372000.0
Total Stockholder Equity,60183000.0,49288000.0,35069000.0,34834000.0
Other Current Liab,9027000.0,11267000.0,7497000.0,4984000.0
Total Assets,95645000.0,84278000.0,61043000.0,47206000.0
Common Stock,1962000.0,1962000.0,1962000.0,1937000.0
Other Current Assets,45000.0,,,
Retained Earnings,49620000.0,37460000.0,28178000.0,31108000.0
Other Liab,20992000.0,21068000.0,16074000.0,5120000.0
Treasury Stock,8601000.0,9866000.0,4929000.0,1789000.0
Other Assets,12475000.0,13151000.0,9433000.0,1265000.0
Cash,43413000.0,32315000.0,25238000.0,22775000.0
Total Current Liabilities,12716000.0,13922000.0,9900000.0,7252000.0
Deferred Long Term Asset Charges,11482000.0,12131000.0,6466000.0,1023000.0
Other Stockholder Equity,9516000.0,9939000.0,5002000.0,1862000.0
Property Plant Equipment,2848000.0,503000.0,352000.0,283000.0
Total Current Assets,61483000.0,52456000.0,34404000.0,30180000.0
Net Tangible Assets,41344000.0,31120000.0,18215000.0,19356000.0
Net Receivables,17009000.0,19405000.0,8405000.0,6753000.0
Inventory,35000.0,31000.0,54000.0,54000.0
Accounts Payable,835000.0,705000.0,565000.0,446000.0
