,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,83126000.0,55989000.0,50713000.0,54278000.0
Total Liab,514814000.0,490029000.0,584345000.0,537164000.0
Total Stockholder Equity,654336000.0,662239000.0,661134000.0,634381000.0
Other Current Liab,323671000.0,307855000.0,329382000.0,352097000.0
Total Assets,1169150000.0,1152268000.0,1245479000.0,1171545000.0
Common Stock,582105000.0,550635000.0,550249000.0,550405000.0
Other Current Assets,249524000.0,267060000.0,299509000.0,277670000.0
Retained Earnings,95255000.0,123133000.0,128368000.0,112511000.0
Other Liab,55080000.0,52918000.0,45747000.0,47767000.0
Good Will,361328000.0,289790000.0,276959000.0,276959000.0
Treasury Stock,-23024000.0,-11529000.0,-17483000.0,-28535000.0
Other Assets,48835000.0,41995000.0,37020000.0,36909000.0
Cash,164143000.0,299587000.0,320237000.0,323487000.0
Total Current Liabilities,390854000.0,350111000.0,451598000.0,402397000.0
Deferred Long Term Asset Charges,39973000.0,31512000.0,34919000.0,33325000.0
Other Stockholder Equity,19274000.0,19905000.0,24093000.0,20104000.0
Property Plant Equipment,89493000.0,26564000.0,25764000.0,23650000.0
Total Current Assets,505683000.0,668267000.0,780054000.0,716668000.0
Long Term Investments,80685000.0,69663000.0,74969000.0,63081000.0
Net Tangible Assets,209882000.0,316460000.0,333462000.0,303144000.0
Net Receivables,92016000.0,101620000.0,160308000.0,96308000.0
Long Term Debt,,87000000.0,87000000.0,87000000.0
