,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,888000000.0,1016000000.0,906000000.0,818000000.0
Total Liab,18500000000.0,17521000000.0,14692000000.0,13681000000.0
Total Stockholder Equity,1523000000.0,3011000000.0,3952000000.0,3537000000.0
Minority Interest,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Liab,5980000000.0,6998000000.0,6345000000.0,5828000000.0
Total Assets,20026000000.0,20535000000.0,18647000000.0,17221000000.0
Common Stock,3104000000.0,1871000000.0,2508000000.0,3259000000.0
Other Current Assets,346000000.0,410000000.0,632000000.0,121000000.0
Retained Earnings,-1357000000.0,1181000000.0,1080000000.0,472000000.0
Other Liab,3053000000.0,2683000000.0,2748000000.0,2181000000.0
Good Will,162000000.0,209000000.0,207000000.0,207000000.0
Treasury Stock,-224000000.0,-41000000.0,364000000.0,-194000000.0
Other Assets,1457000000.0,1397000000.0,1488000000.0,1362000000.0
Cash,3520000000.0,2157000000.0,1694000000.0,1775000000.0
Total Current Liabilities,8304000000.0,9018000000.0,7600000000.0,7095000000.0
Deferred Long Term Asset Charges,167000000.0,,,
Short Long Term Debt,868000000.0,610000000.0,295000000.0,330000000.0
Other Stockholder Equity,-173000000.0,111000000.0,479000000.0,12000000.0
Property Plant Equipment,12404000000.0,13412000000.0,12186000000.0,11501000000.0
Total Current Assets,4952000000.0,4188000000.0,3638000000.0,3119000000.0
Long Term Investments,163000000.0,313000000.0,222000000.0,214000000.0
Net Tangible Assets,473000000.0,1786000000.0,2839000000.0,2512000000.0
Net Receivables,659000000.0,1101000000.0,840000000.0,784000000.0
Long Term Debt,5825000000.0,4527000000.0,3165000000.0,3144000000.0
Inventory,306000000.0,364000000.0,351000000.0,351000000.0
