,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,235618000.0,237381000.0,223543000.0,169300000.0
Total Liab,726030000.0,676296000.0,787328000.0,774083000.0
Total Stockholder Equity,864117000.0,904976000.0,940263000.0,804250000.0
Minority Interest,376000.0,459000.0,506000.0,480000.0
Other Current Liab,140678000.0,103362000.0,85255000.0,185809000.0
Total Assets,1590523000.0,1581731000.0,1728097000.0,1578813000.0
Common Stock,102616000.0,102616000.0,102616000.0,102616000.0
Retained Earnings,704262000.0,747312000.0,796421000.0,672712000.0
Other Liab,157572000.0,161343000.0,166342000.0,35870000.0
Good Will,414747000.0,545706000.0,718634000.0,583863000.0
Treasury Stock,57239000.0,55048000.0,41226000.0,28922000.0
Other Assets,160527000.0,148403000.0,136705000.0,8777000.0
Cash,222845000.0,137897000.0,115841000.0,358500000.0
Total Current Liabilities,317776000.0,444930000.0,311063000.0,379095000.0
Deferred Long Term Asset Charges,11086000.0,13495000.0,9539000.0,8364000.0
Short Long Term Debt,69456000.0,240083000.0,121939000.0,133828000.0
Other Stockholder Equity,57239000.0,55048000.0,41226000.0,28922000.0
Property Plant Equipment,101577000.0,17148000.0,22100000.0,19767000.0
Total Current Assets,373144000.0,306961000.0,289601000.0,458184000.0
Long Term Investments,304910000.0,326132000.0,337514000.0,338922000.0
Net Tangible Assets,213752000.0,121889000.0,-1914000.0,51087000.0
Net Receivables,140640000.0,161203000.0,168428000.0,94200000.0
Long Term Debt,169785000.0,70023000.0,309498000.0,359118000.0
Accounts Payable,23498000.0,11719000.0,9545000.0,14680000.0
