,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,2572000.0,2572000.0,2572000.0,802000.0
Total Liab,316796000.0,237533000.0,185688000.0,147472000.0
Total Stockholder Equity,835081000.0,716464000.0,636842000.0,538392000.0
Other Current Liab,22948000.0,24585000.0,25985000.0,14064000.0
Total Assets,1151877000.0,953997000.0,822530000.0,685864000.0
Common Stock,435145000.0,434880000.0,433248000.0,431491000.0
Other Current Assets,3497000.0,3594000.0,1795000.0,2929000.0
Retained Earnings,368713000.0,250505000.0,173597000.0,80025000.0
Other Liab,193253000.0,152096000.0,118551000.0,94504000.0
Treasury Stock,31223000.0,31079000.0,29997000.0,26876000.0
Other Assets,63503000.0,55898000.0,45986000.0,35452000.0
Cash,192428000.0,188697000.0,181118000.0,119428000.0
Total Current Liabilities,101502000.0,84109000.0,67101000.0,52127000.0
Other Stockholder Equity,31223000.0,31079000.0,29997000.0,26876000.0
Property Plant Equipment,808097000.0,640612000.0,520604000.0,457367000.0
Total Current Assets,277705000.0,254915000.0,253368000.0,192243000.0
Net Tangible Assets,832509000.0,713892000.0,634270000.0,537590000.0
Short Term Investments,270000.0,269000.0,344000.0,263000.0
Net Receivables,7080000.0,6278000.0,26673000.0,30295000.0
Inventory,74430000.0,56077000.0,43438000.0,39328000.0
Accounts Payable,30178000.0,28716000.0,21075000.0,16892000.0
