,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,589700000.0,598600000.0,539100000.0,500300000.0
Total Liab,2953000000.0,2555800000.0,2159000000.0,1643100000.0
Total Stockholder Equity,1082500000.0,1399200000.0,1328000000.0,1480700000.0
Minority Interest,301000000.0,295200000.0,297000000.0,559200000.0
Other Current Liab,500100000.0,476900000.0,425900000.0,308500000.0
Total Assets,4336500000.0,4250200000.0,3784000000.0,3683000000.0
Common Stock,269200000.0,269200000.0,269200000.0,251600000.0
Other Current Assets,93100000.0,142400000.0,93700000.0,100000.0
Retained Earnings,894400000.0,1133300000.0,1111900000.0,1225000000.0
Other Liab,158100000.0,184600000.0,166200000.0,162900000.0
Good Will,1960300000.0,2120900000.0,2013500000.0,2171900000.0
Treasury Stock,-81100000.0,-3300000.0,-53100000.0,4100000.0
Other Assets,413400000.0,398600000.0,339100000.0,76400000.0
Cash,604800000.0,382900000.0,361700000.0,652000000.0
Total Current Liabilities,961300000.0,904600000.0,774100000.0,550000000.0
Deferred Long Term Asset Charges,58700000.0,46000000.0,33900000.0,32400000.0
Short Long Term Debt,162500000.0,161000000.0,81900000.0,40200000.0
Other Stockholder Equity,-81100000.0,-3300000.0,-53100000.0,4100000.0
Property Plant Equipment,91000000.0,43000000.0,39500000.0,29100000.0
Total Current Assets,817200000.0,693200000.0,618200000.0,841900000.0
Long Term Investments,464900000.0,395900000.0,234600000.0,63400000.0
Net Tangible Assets,-1467500000.0,-1320300000.0,-1224600000.0,-1191500000.0
Short Term Investments,200000.0,100000.0,5300000.0,75500000.0
Net Receivables,83400000.0,129300000.0,120700000.0,82800000.0
Long Term Debt,1797600000.0,1466600000.0,1218700000.0,930200000.0
Accounts Payable,16400000.0,26100000.0,244000000.0,12100000.0
