,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,700000.0,46600000.0,55100000.0,48400000.0
Total Liab,1223800000.0,886700000.0,1013100000.0,775400000.0
Total Stockholder Equity,1982300000.0,2298700000.0,2188700000.0,1967600000.0
Other Current Liab,185200000.0,251300000.0,319500000.0,223000000.0
Total Assets,3206100000.0,3185400000.0,3201800000.0,2743000000.0
Common Stock,2734400000.0,2750200000.0,2767800000.0,2733800000.0
Other Current Assets,3700000.0,3000000.0,9100000.0,13400000.0
Retained Earnings,-1019000000.0,-687800000.0,-726700000.0,-826300000.0
Other Liab,278300000.0,192800000.0,179300000.0,178400000.0
Good Will,59300000.0,147200000.0,143500000.0,110000000.0
Treasury Stock,266900000.0,236300000.0,147600000.0,60100000.0
Other Assets,344300000.0,181700000.0,191200000.0,182000000.0
Cash,227300000.0,382900000.0,339100000.0,378500000.0
Total Current Liabilities,535600000.0,658700000.0,794400000.0,593600000.0
Deferred Long Term Asset Charges,221900000.0,160900000.0,166800000.0,166400000.0
Other Stockholder Equity,266900000.0,236300000.0,147600000.0,60100000.0
Property Plant Equipment,1504200000.0,1267200000.0,1155800000.0,970900000.0
Total Current Assets,974800000.0,1230000000.0,1388800000.0,1227700000.0
Long Term Investments,322800000.0,312700000.0,267400000.0,204000000.0
Net Tangible Assets,1922300000.0,2104900000.0,1990100000.0,1809200000.0
Short Term Investments,3000000.0,17500000.0,,
Net Receivables,368900000.0,356300000.0,439100000.0,402900000.0
Long Term Debt,116900000.0,35200000.0,39200000.0,3400000.0
Inventory,334300000.0,442800000.0,567000000.0,402700000.0
Accounts Payable,223900000.0,328000000.0,379400000.0,268200000.0
Short Long Term Debt,,,,2100000.0
