,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,410900000.0,419200000.0,416500000.0,409600000.0
Total Liab,2210900000.0,1842800000.0,1489300000.0,1739700000.0
Total Stockholder Equity,3465000000.0,3740900000.0,3781500000.0,3275600000.0
Other Current Liab,117900000.0,63400000.0,20900000.0,56000000.0
Total Assets,5675900000.0,5583700000.0,5270800000.0,5015300000.0
Common Stock,3063000000.0,3070200000.0,3070200000.0,2580500000.0
Other Current Assets,105700000.0,10500000.0,7300000.0,52600000.0
Retained Earnings,410800000.0,693500000.0,718300000.0,702300000.0
Other Liab,154800000.0,193500000.0,207200000.0,198100000.0
Good Will,1442200000.0,1442200000.0,1442200000.0,1442200000.0
Treasury Stock,-8800000.0,-22800000.0,-7000000.0,-7200000.0
Other Assets,108300000.0,130300000.0,68600000.0,162100000.0
Cash,66100000.0,114300000.0,110300000.0,113700000.0
Total Current Liabilities,587000000.0,673800000.0,588900000.0,589300000.0
Short Long Term Debt,163600000.0,202000000.0,137700000.0,148400000.0
Other Stockholder Equity,3400000.0,-16100000.0,-7000000.0,-7200000.0
Property Plant Equipment,2837000000.0,2779800000.0,2658600000.0,2360500000.0
Total Current Assets,352400000.0,427200000.0,396000000.0,427600000.0
Long Term Investments,525100000.0,385000000.0,288900000.0,213300000.0
Net Tangible Assets,1611900000.0,1879500000.0,1922800000.0,1423800000.0
Net Receivables,107000000.0,235500000.0,221500000.0,192700000.0
Long Term Debt,1418900000.0,975500000.0,693200000.0,952300000.0
Inventory,16400000.0,17500000.0,15500000.0,11900000.0
Accounts Payable,222300000.0,338300000.0,363300000.0,322400000.0
