,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Total Liab,1438935000.0,1387276000.0,1567883000.0,1173642000.0
Total Stockholder Equity,2076764000.0,2137284000.0,2156355000.0,1845568000.0
Other Current Liab,3509000.0,3448000.0,6822000.0,30110000.0
Total Assets,3515699000.0,3524560000.0,3724238000.0,3019210000.0
Common Stock,1067502000.0,1199119000.0,1303404000.0,1115263000.0
Other Current Assets,1891000.0,2154000.0,2559000.0,
Retained Earnings,1050173000.0,956396000.0,870355000.0,758927000.0
Other Liab,313971000.0,262393000.0,236224000.0,166275000.0
Treasury Stock,-40911000.0,-18231000.0,-17404000.0,-28622000.0
Cash,117289000.0,100985000.0,18284000.0,124435000.0
Total Current Liabilities,63220000.0,63159000.0,66533000.0,82166000.0
Short Long Term Debt,1061744000.0,1061724000.0,1265126000.0,925201000.0
Other Stockholder Equity,-40911000.0,-18231000.0,-17404000.0,-28622000.0
Property Plant Equipment,699000.0,126000.0,147000.0,184000.0
Total Current Assets,128377000.0,111651000.0,31421000.0,136688000.0
Long Term Investments,3386623000.0,3412783000.0,3478301000.0,2644580000.0
Net Tangible Assets,2076764000.0,2137284000.0,2156355000.0,1845568000.0
Net Receivables,9197000.0,8512000.0,10578000.0,11940000.0
Long Term Debt,1061744000.0,1061724000.0,1265126000.0,925201000.0
Other Assets,,,214369000.0,237758000.0
