,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Intangible Assets,5709000.0,6123000.0,6628000.0,5562000.0
Total Liab,2538346000.0,2205998000.0,1787568000.0,1447044000.0
Total Stockholder Equity,1354845000.0,1131884000.0,978799000.0,785786000.0
Other Current Liab,141187000.0,117672000.0,94205000.0,72753000.0
Total Assets,3893191000.0,3337882000.0,2766367000.0,2232830000.0
Common Stock,303499000.0,284074000.0,269467000.0,257414000.0
Retained Earnings,1037325000.0,837771000.0,694508000.0,509143000.0
Other Liab,1519141000.0,1317990000.0,1133846000.0,964120000.0
Treasury Stock,14021000.0,10039000.0,14824000.0,19229000.0
Other Assets,3638760000.0,3107014000.0,2585049000.0,2069662000.0
Cash,15817000.0,21462000.0,7482000.0,7566000.0
Total Current Liabilities,294169000.0,260826000.0,187263000.0,128153000.0
Short Long Term Debt,274000.0,515000.0,360000.0,333000.0
Other Stockholder Equity,14021000.0,10039000.0,14824000.0,19229000.0
Property Plant Equipment,181098000.0,154004000.0,132746000.0,123431000.0
Total Current Assets,67624000.0,70741000.0,41944000.0,34175000.0
Net Tangible Assets,1349136000.0,1125761000.0,972171000.0,780224000.0
Net Receivables,21180000.0,28331000.0,24882000.0,23388000.0
Long Term Debt,714975000.0,617641000.0,466459000.0,354771000.0
Accounts Payable,3687000.0,2071000.0,1723000.0,1752000.0
