,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,746000000.0,774000000.0,743000000.0,959000000.0
Total Liab,2854000000.0,2630000000.0,2361000000.0,1680000000.0
Total Stockholder Equity,1493000000.0,1465000000.0,1483000000.0,1651000000.0
Deferred Long Term Liab,66000000.0,81000000.0,75000000.0,
Other Current Liab,124000000.0,114000000.0,111000000.0,149000000.0
Total Assets,4347000000.0,4095000000.0,3844000000.0,3331000000.0
Common Stock,949000000.0,945000000.0,941000000.0,935000000.0
Other Current Assets,48000000.0,49000000.0,46000000.0,
Retained Earnings,897000000.0,929000000.0,979000000.0,1122000000.0
Other Liab,84000000.0,111000000.0,120000000.0,152000000.0
Good Will,222000000.0,213000000.0,213000000.0,194000000.0
Treasury Stock,-353000000.0,-409000000.0,-437000000.0,-406000000.0
Other Assets,344000000.0,323000000.0,286000000.0,244000000.0
Cash,53000000.0,54000000.0,55000000.0,52000000.0
Total Current Liabilities,781000000.0,944000000.0,759000000.0,791000000.0
Short Long Term Debt,5000000.0,289000000.0,100000000.0,165000000.0
Other Stockholder Equity,-353000000.0,-409000000.0,-437000000.0,-406000000.0
Property Plant Equipment,1799000000.0,1692000000.0,1697000000.0,1070000000.0
Total Current Assets,928000000.0,911000000.0,807000000.0,756000000.0
Long Term Investments,308000000.0,182000000.0,98000000.0,108000000.0
Net Tangible Assets,525000000.0,478000000.0,527000000.0,498000000.0
Net Receivables,591000000.0,615000000.0,549000000.0,529000000.0
Long Term Debt,1400000000.0,1073000000.0,1011000000.0,737000000.0
Inventory,96000000.0,100000000.0,79000000.0,94000000.0
Accounts Payable,237000000.0,258000000.0,283000000.0,271000000.0
