,2020-06-27,2019-06-29,2018-06-30,2017-07-01
Intangible Assets,347700000.0,367700000.0,365700000.0,302500000.0
Total Liab,1783800000.0,963000000.0,987400000.0,804000000.0
Total Stockholder Equity,991300000.0,816400000.0,775900000.0,756500000.0
Other Current Liab,133900000.0,97400000.0,106700000.0,85300000.0
Total Assets,2775100000.0,1779000000.0,1762600000.0,1558600000.0
Common Stock,698100000.0,542300000.0,542300000.0,542300000.0
Retained Earnings,285700000.0,265900000.0,223300000.0,210700000.0
Other Liab,24300000.0,92600000.0,90900000.0,82800000.0
Good Will,526600000.0,526500000.0,525900000.0,447600000.0
Treasury Stock,7500000.0,8200000.0,10300000.0,3500000.0
Other Assets,4900000.0,,,
Cash,285100000.0,7500000.0,15200000.0,19900000.0
Total Current Liabilities,750800000.0,479600000.0,461400000.0,323200000.0
Deferred Long Term Asset Charges,4900000.0,,,
Other Stockholder Equity,7500000.0,8200000.0,10300000.0,3500000.0
Property Plant Equipment,1075800000.0,267900000.0,270400000.0,264500000.0
Total Current Assets,813800000.0,610000000.0,591300000.0,544000000.0
Long Term Investments,6300000.0,6900000.0,9300000.0,
Net Tangible Assets,117000000.0,-77800000.0,-115700000.0,6400000.0
Net Receivables,18100000.0,31800000.0,17100000.0,19300000.0
Long Term Debt,247800000.0,387000000.0,428600000.0,389400000.0
Inventory,502400000.0,560200000.0,545500000.0,481500000.0
Accounts Payable,335200000.0,274800000.0,255600000.0,179500000.0
Minority Interest,,-400000.0,-700000.0,-1900000.0
Other Current Assets,,2800000.0,6800000.0,
Short Long Term Debt,,6200000.0,1500000.0,1700000.0
