,2020-06-30,2019-06-30,2018-06-30,2017-06-30
Intangible Assets,1285000000.0,1452000000.0,1553000000.0,1644000000.0
Total Liab,82960000000.0,83102000000.0,85360000000.0,83319000000.0
Total Stockholder Equity,12763000000.0,13113000000.0,13963000000.0,13782000000.0
Minority Interest,21000000.0,20000000.0,10000000.0,8000000.0
Other Current Liab,34464000000.0,28190000000.0,26194000000.0,24720000000.0
Total Assets,95744000000.0,96235000000.0,99333000000.0,97109000000.0
Common Stock,12539000000.0,12874000000.0,12874000000.0,12797000000.0
Other Current Assets,4069000000.0,4199000000.0,4185000000.0,5369000000.0
Retained Earnings,163000000.0,121000000.0,1053000000.0,937000000.0
Other Liab,13308000000.0,18543000000.0,23201000000.0,22960000000.0
Good Will,4724000000.0,4731000000.0,4875000000.0,4881000000.0
Treasury Stock,61000000.0,118000000.0,36000000.0,48000000.0
Other Assets,58767000000.0,60220000000.0,59723000000.0,56171000000.0
Cash,1466000000.0,1488000000.0,1599000000.0,2215000000.0
Total Current Liabilities,56819000000.0,50930000000.0,47763000000.0,47313000000.0
Deferred Long Term Asset Charges,282000000.0,242000000.0,203000000.0,226000000.0
Short Long Term Debt,3941000000.0,3349000000.0,3011000000.0,2199000000.0
Other Stockholder Equity,112000000.0,194000000.0,131000000.0,153000000.0
Property Plant Equipment,576000000.0,208000000.0,211000000.0,200000000.0
Total Current Assets,10629000000.0,10381000000.0,10265000000.0,11886000000.0
Long Term Investments,19763000000.0,19243000000.0,22706000000.0,22327000000.0
Net Tangible Assets,7488000000.0,7653000000.0,8241000000.0,7961000000.0
Net Receivables,2858000000.0,2838000000.0,2668000000.0,2629000000.0
Long Term Debt,12483000000.0,13629000000.0,14396000000.0,13046000000.0
Accounts Payable,11382000000.0,11387000000.0,10923000000.0,11751000000.0
